probe_id,passed,scope,included_in_empirical_counts,production_influence
evaluator_absent,true,STRUCTURAL_ONLY,false,false
evaluator_injected_not_called,true,STRUCTURAL_ONLY,false,false
evaluator_called_once,true,STRUCTURAL_ONLY,false,false
evaluator_called_twice,true,STRUCTURAL_ONLY,false,false
early_return_before_base,true,STRUCTURAL_ONLY,false,false
base_decision_rejection,true,STRUCTURAL_ONLY,false,false
stress_rejection,true,STRUCTURAL_ONLY,false,false
trade_plan_rejection,true,STRUCTURAL_ONLY,false,false
complete_passing_path,true,STRUCTURAL_ONLY,false,false
evaluator_output_discarded,true,STRUCTURAL_ONLY,false,false
stage_result_serialised,true,STRUCTURAL_ONLY,false,false
old_new_same_terminal,true,STRUCTURAL_ONLY,false,false
legitimate_terminal_difference,true,STRUCTURAL_ONLY,false,false
unexplained_terminal_drift,true,STRUCTURAL_ONLY,false,false
default_path_unaffected,true,STRUCTURAL_ONLY,false,false
raw_adjusted_explained,true,STRUCTURAL_ONLY,false,false
raw_adjusted_unexplained,true,STRUCTURAL_ONLY,false,false
