stage_order,component,implementation,input_contract,output_contract,invoked,invocation_count,output_recorded,affects_terminal_status,early_return_behavior,exception_behavior,dependency_injection_seam,tests_exercise_component,execution_mode,default_runtime_invoked
1,captured_identity_validation,DSI002DSourceValidator,A/B/C/D certificates,validated frozen lineage,true,1,true,false,NONE,FAIL_CLOSED,false,true,GOVERNED_COMPLETE_STACK,UNCHANGED
2,application_input_provider,DemoIntelligenceInputBuilder,observed_on date,IntelligenceInputs,true,1,true,false,NONE,FAIL_CLOSED,true,true,GOVERNED_COMPLETE_STACK,UNCHANGED
3,recommendation_creation,RecommendationEngine,RecommendationRequest,RecommendationReport,true,1,true,true,NONE,FAIL_CLOSED,false,true,GOVERNED_COMPLETE_STACK,UNCHANGED
4,institutional_candidate_construction,candidate_from_recommendation,RecommendationResult,OpportunityCandidate,true,1,true,true,NONE,FAIL_CLOSED,false,true,GOVERNED_COMPLETE_STACK,false
5,institutional_base_decision,InstitutionalDecisionEngine._decision,OpportunityCandidate,OpportunityDecision,true,1,true,true,NONE,FAIL_CLOSED,true,true,GOVERNED_COMPLETE_STACK,false
6,institutional_stress,DecisionStressTestEngine.stress_test,OpportunityDecision,OpportunityDecision,true,1,true,true,PRESERVE_REJECTED_DECISION,FAIL_CLOSED,false,true,GOVERNED_COMPLETE_STACK,false
7,institutional_trade_plan_optimizer,TradePlanOptimizationEngine.optimize_decision,OpportunityDecision,OpportunityDecision,true,1,true,true,PRESERVE_REJECTED_DECISION,FAIL_CLOSED,false,true,GOVERNED_COMPLETE_STACK,false
8,terminal_institutional_decision,InstitutionalDecisionReport,terminal OpportunityDecision,InstitutionalDecisionReport,true,1,true,true,NONE,FAIL_CLOSED,false,true,GOVERNED_COMPLETE_STACK,UNCHANGED
9,portfolio_allocation,PortfolioConstructionEngine,RecommendationReport,PortfolioAllocationReport,true,1,true,true,NONE,FAIL_CLOSED,true,true,GOVERNED_COMPLETE_STACK,UNCHANGED
10,recorded_complete_stack_baseline,IntelligenceRun.as_dict,IntelligenceRun with InstitutionalEvaluationResult,complete-stack recorded payload,true,1,true,true,NONE,FAIL_CLOSED,false,true,GOVERNED_COMPLETE_STACK,UNCHANGED
