candidate_key,symbol,observed_on,price_arm,stage_id,stage_order,stage_reached,stage_invoked,invocation_count,semantic_prerequisites_satisfied,input_available,input_snapshot_hash,evaluator_output_hash,result_state,normalized_gate_codes,raw_reason_codes,caused_termination,processing_continued,terminal_decision_after_stage,observation_mode,attribution_notes
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,BEL,2026-07-26,RAW,recommendation.price_volume,1,true,true,1,true,true,014ed356f0b8546ea696aa096c52b014354bbe676e3685dc326597b854392db2,11d5541ce3a202607fb1ded632e717fcefbc7dc4d0336ef90652698d81edefd0,PASS,PRICE_VOLUME_AVAILABLE,NONE,false,true,WATCHLIST,CANONICAL_BASELINE,Observed from the unchanged canonical run output.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,BEL,2026-07-26,RAW,recommendation.candle_pattern,2,true,true,1,true,true,014ed356f0b8546ea696aa096c52b014354bbe676e3685dc326597b854392db2,87795bc128cb31a9d6077ab8d4e137fd169dcfa791d0fda4f4bd50529556ea06,NOT_APPLICABLE,NO_CANDLE_PATTERN,"NONE detected. Candle neutral price-volume; high=None, low=None, volume_confirmed=True.",false,true,WATCHLIST,CANONICAL_BASELINE,Observed from the unchanged canonical run output.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,BEL,2026-07-26,RAW,recommendation.evidence_scoring,3,true,true,1,true,true,014ed356f0b8546ea696aa096c52b014354bbe676e3685dc326597b854392db2,9497a1a861aee6dbf54d7b7ebf3cadc6035ab8dde14dd2e74398733a66a1d145,PASS,EVIDENCE_SCORE_AT_LEAST_WATCHLIST,Sideways market reduces breakout confidence.,false,true,WATCHLIST,CANONICAL_BASELINE,Observed from the unchanged canonical run output.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,BEL,2026-07-26,RAW,recommendation.trade_setup,4,true,true,1,true,true,014ed356f0b8546ea696aa096c52b014354bbe676e3685dc326597b854392db2,81fa15b17f3e82730d029966bfdf5d802d4b458240ed70b7602487e303820f3f,FAIL,ENTRY_NOT_READY,Setup is not ready; wait for price confirmation.,false,true,WATCHLIST,CANONICAL_BASELINE,Observed from the unchanged canonical run output.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,BEL,2026-07-26,RAW,recommendation.score_and_rules,5,true,true,1,true,true,014ed356f0b8546ea696aa096c52b014354bbe676e3685dc326597b854392db2,233f3baf37b0adb7519249127d57405afc38c1171ca658973e7407c028cedbb7,FAIL,FINAL_SIGNAL_WATCHLIST,score=62.25,false,true,WATCHLIST,CANONICAL_BASELINE,Observed from the unchanged canonical run output.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,BEL,2026-07-26,RAW,recommendation.trade_plan,6,true,true,1,true,true,014ed356f0b8546ea696aa096c52b014354bbe676e3685dc326597b854392db2,617883e392a0025c67580a4dec24b2b57ce8e3db43de4619cfd7a2c4a30e9df8,FAIL,TRADE_PLAN_INCOMPLETE,"WATCHLIST because the final score is 62.25/100. Price action is CONSTRUCTIVE with BREAKOUT. Volume is scoring 0.8200 as confirmation. Candle pattern NONE neutral the setup. Retracement kept neutral because swing data is unavailable the signal. Support used: unavailable. Entry zone: unavailable to unavailable; confirmation entry: unavailable. Stop loss: unavailable. Invalidation: unavailable (20-DMA invalidation unavailable due to insufficient price history). Targets: unavailable, unavailable, unavailable. 20-DMA invalidation unavailable due to insufficient price history. ATR trailing stop unavailable due to insufficient price history. Volume condition: breakout or bounce must confirm above average volume.",false,true,WATCHLIST,CANONICAL_BASELINE,Observed from the unchanged canonical run output.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,BEL,2026-07-26,RAW,institutional.base_decision,7,false,false,0,false,false,014ed356f0b8546ea696aa096c52b014354bbe676e3685dc326597b854392db2,,NOT_REACHED,MISSING_EVALUATOR_WIRING,NONE,false,true,WATCHLIST,CANONICAL_BASELINE,Evaluator exists in the repository but is not invoked by IntelligenceApplicationService.run.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,BEL,2026-07-26,RAW,institutional.stress,8,false,false,0,false,false,014ed356f0b8546ea696aa096c52b014354bbe676e3685dc326597b854392db2,,NOT_REACHED,MISSING_EVALUATOR_WIRING,NONE,false,true,WATCHLIST,CANONICAL_BASELINE,Evaluator exists in the repository but is not invoked by IntelligenceApplicationService.run.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,BEL,2026-07-26,RAW,institutional.trade_plan_optimizer,9,false,false,0,false,false,014ed356f0b8546ea696aa096c52b014354bbe676e3685dc326597b854392db2,,NOT_REACHED,MISSING_EVALUATOR_WIRING,NONE,false,true,WATCHLIST,CANONICAL_BASELINE,Evaluator exists in the repository but is not invoked by IntelligenceApplicationService.run.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,BEL,2026-07-26,RAW,portfolio.allocation,10,true,true,1,true,true,014ed356f0b8546ea696aa096c52b014354bbe676e3685dc326597b854392db2,379fa08afb2cfebd39be988117a84daf65a6c2fb582ff07454b5e6583c20f438,FAIL,ALLOCATION_SKIP,capital action: skip|decision: SKIP|recommendation conviction: WATCHLIST|recommendation action: ACCUMULATE|recommendation final signal: WATCHLIST|recommendation score: 62.25|success probability: 86.17%|requested allocation: 0.00%|correlation-adjusted allocation: 0.00%|approved allocation: 0.00%,false,true,WATCHLIST,CANONICAL_BASELINE,Observed from the unchanged canonical run output.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,BEL,2026-07-26,RAW,terminal.reconciliation,11,true,true,1,true,true,014ed356f0b8546ea696aa096c52b014354bbe676e3685dc326597b854392db2,53f4fb0bc39b4468cd117ba0725b1f14a368489bc853b78cd828841319b0e54d,PASS,RECORDED_TERMINAL_DECISION_RECONCILED,WATCHLIST,false,false,WATCHLIST,CANONICAL_BASELINE,Observed from the unchanged canonical run output.
