stage_id,expected_max_invocations_per_candidate,observed_invocations,duplicate_invocation_count,evaluator_id,source_sha256
recommendation.price_volume,1,1,0,PriceVolumeSignalEngine,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c
recommendation.candle_pattern,1,1,0,CandlePatternEngine,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c
recommendation.evidence_scoring,1,1,0,EvidenceScoringEngine,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c
recommendation.trade_setup,1,1,0,TradeSetupEngine,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c
recommendation.score_and_rules,1,1,0,RecommendationScoringEngine,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c
recommendation.trade_plan,1,1,0,TradePlanIntelligenceEngine,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c
institutional.base_decision,1,0,0,InstitutionalDecisionEngine,485738b89904e1463bbe03efa1bdf703f5852a038312025561c0ba0e6709032d
institutional.stress,1,0,0,DecisionStressTestEngine,34476ce8eed112c591db479f2596725824126bef691abebd242a44d54515bfa5
institutional.trade_plan_optimizer,1,0,0,TradePlanOptimizationEngine,35e7462226e8e2c74980ea2381c515d9b2cc5de2035805f078dfda9377f1a48d
portfolio.allocation,1,1,0,CapitalAllocationEngine,c0de34b55c836fe535895795e6f9f650f1618b101b3e3f01d5efebbd4814b76a
terminal.reconciliation,1,1,0,compare_run_to_baseline,285ffa06c8d410895d49344db0fec7494c69dc289708790297f66eea9b74a8bb
