source_type,source_id,contract_version,sha256,support_sha256
PREREQUISITE_CERTIFICATE,DSI-002A,DSI-002A-v1.0.0,22d075439746a700364fcb1dac6147e0cf3dd31dedfa2cfd06a407300cad24dd,36d0198b3f44063dd3d00246312ea913e83e5ab61e9565d7836dfdf1228a51a4
PREREQUISITE_CERTIFICATE,DSI-002B,DSI-002B-v1.0.0,5a5ccbab6bbae06bab104e21c3ee18157086fa4c3f474ccd6dcb63370bb7d09a,c0cfbc6ac07a5d17f2e44e5cf1fbd5aa375324cdfea598953b3e3d73aa1a94ac
PREREQUISITE_CERTIFICATE,DSI-002C,DSI-002C-v1.0.0,3a89f392901def77debe477da2e0428f8e951994ec52373ca9c9fff515b4f7a0,cd57ff0a5717a2f3c7df1ea56119080a6b428dc6899476aa1b896c7043d9c69c
EVALUATOR_SOURCE,recommendation.price_volume,DSI-002D-v1.0.0,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c,397ce503d18d1358b732f00ae299f9666b481d084d810172bb973f15ac651a4e
EVALUATOR_SOURCE,recommendation.candle_pattern,DSI-002D-v1.0.0,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c,397ce503d18d1358b732f00ae299f9666b481d084d810172bb973f15ac651a4e
EVALUATOR_SOURCE,recommendation.evidence_scoring,DSI-002D-v1.0.0,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c,feacc7436a8f41c2d222c7451280f64b8e43fe933ee4491513c505e7c533b5c4
EVALUATOR_SOURCE,recommendation.trade_setup,DSI-002D-v1.0.0,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c,a94de40a5c4a33e91f8a4e8458cab05889f5148c0f3a083caddd6db060233d4a
EVALUATOR_SOURCE,recommendation.score_and_rules,DSI-002D-v1.0.0,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c,feacc7436a8f41c2d222c7451280f64b8e43fe933ee4491513c505e7c533b5c4
EVALUATOR_SOURCE,recommendation.trade_plan,DSI-002D-v1.0.0,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c,a94de40a5c4a33e91f8a4e8458cab05889f5148c0f3a083caddd6db060233d4a
EVALUATOR_SOURCE,institutional.base_decision,UNWIRED_IN_DSI002C_BASELINE,485738b89904e1463bbe03efa1bdf703f5852a038312025561c0ba0e6709032d,
EVALUATOR_SOURCE,institutional.stress,UNWIRED_IN_DSI002C_BASELINE,34476ce8eed112c591db479f2596725824126bef691abebd242a44d54515bfa5,
EVALUATOR_SOURCE,institutional.trade_plan_optimizer,UNWIRED_IN_DSI002C_BASELINE,35e7462226e8e2c74980ea2381c515d9b2cc5de2035805f078dfda9377f1a48d,
EVALUATOR_SOURCE,portfolio.allocation,DSI-002D-v1.0.0,c0de34b55c836fe535895795e6f9f650f1618b101b3e3f01d5efebbd4814b76a,bdfaa97602867c77e10862e2efcefe6c97fd503e9b79935e2bda8bed810efaa4
EVALUATOR_SOURCE,terminal.reconciliation,DSI-002D-v1.0.0,285ffa06c8d410895d49344db0fec7494c69dc289708790297f66eea9b74a8bb,5b39fe74c7a8233a8a99f1c1c97e9245d3d5062761587c3ff3a7dbb76b1623f9
