stage_id,stage_order,stage_family,evaluator_id,callable_identity,evaluator_contract_version,source_file,source_sha256,configuration_source,configuration_sha256,stage_input_type,stage_output_type,possible_terminal_states,always_evaluated,conditional,semantic_prerequisites,downstream_meaningful_after_failure,multiple_gate_conditions,future_override_eligible,wired_into_baseline
recommendation.price_volume,1,RECOMMENDATION,PriceVolumeSignalEngine,alpha.recommendation_intelligence.engines.PriceVolumeSignalEngine.assess,DSI-002D-v1.0.0,alpha/recommendation_intelligence/engines.py,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c,CANDIDATE_FEATURES,397ce503d18d1358b732f00ae299f9666b481d084d810172bb973f15ac651a4e,RecommendationCandidate,PriceVolumeAssessment,PASS|FAIL|UNKNOWN,true,false,captured candidate and required prior evidence available,true,false,false,true
recommendation.candle_pattern,2,RECOMMENDATION,CandlePatternEngine,alpha.recommendation_intelligence.engines.CandlePatternEngine.assess,DSI-002D-v1.0.0,alpha/recommendation_intelligence/engines.py,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c,CANDIDATE_FEATURES,397ce503d18d1358b732f00ae299f9666b481d084d810172bb973f15ac651a4e,RecommendationCandidate+PriceVolumeAssessment,CandlePatternAssessment,PASS|FAIL|NOT_APPLICABLE,true,false,captured candidate and required prior evidence available,true,false,false,true
recommendation.evidence_scoring,3,BASE_DECISION,EvidenceScoringEngine,alpha.recommendation_intelligence.engines.EvidenceScoringEngine.assess,DSI-002D-v1.0.0,alpha/recommendation_intelligence/engines.py,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c,APPROVAL_POLICY,feacc7436a8f41c2d222c7451280f64b8e43fe933ee4491513c505e7c533b5c4,RecommendationCandidate+technical evidence,EvidenceAssessment,PASS|FAIL|UNKNOWN,true,false,captured candidate and required prior evidence available,true,false,false,true
recommendation.trade_setup,4,BASE_DECISION,TradeSetupEngine,alpha.recommendation_intelligence.engines.TradeSetupEngine.assess,DSI-002D-v1.0.0,alpha/recommendation_intelligence/engines.py,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c,ENTRY_POLICY,a94de40a5c4a33e91f8a4e8458cab05889f5148c0f3a083caddd6db060233d4a,RecommendationCandidate+technical evidence,TradeSetupAssessment,PASS|FAIL|UNKNOWN,true,false,captured candidate and required prior evidence available,true,false,false,true
recommendation.score_and_rules,5,BASE_DECISION,RecommendationScoringEngine,alpha.recommendation_intelligence.engines.RecommendationScoringEngine.score,DSI-002D-v1.0.0,alpha/recommendation_intelligence/engines.py,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c,APPROVAL_POLICY,feacc7436a8f41c2d222c7451280f64b8e43fe933ee4491513c505e7c533b5c4,EvidenceAssessment+TradeSetupAssessment,RecommendationScore,PASS|FAIL,true,false,captured candidate and required prior evidence available,true,true,false,true
recommendation.trade_plan,6,TRADE_PLAN,TradePlanIntelligenceEngine,alpha.recommendation_intelligence.engines.TradePlanIntelligenceEngine.assess,DSI-002D-v1.0.0,alpha/recommendation_intelligence/engines.py,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c,ENTRY_POLICY,a94de40a5c4a33e91f8a4e8458cab05889f5148c0f3a083caddd6db060233d4a,RecommendationCandidate+RecommendationScore,RecommendationTradePlan,PASS|FAIL|UNKNOWN,true,false,captured candidate and required prior evidence available,true,false,false,true
institutional.base_decision,7,INSTITUTIONAL_BASE_DECISION,InstitutionalDecisionEngine,UNWIRED:InstitutionalDecisionEngine,UNWIRED_IN_DSI002C_BASELINE,alpha/decision_intelligence/engine.py,485738b89904e1463bbe03efa1bdf703f5852a038312025561c0ba0e6709032d,UNAVAILABLE,,InstitutionalCandidate,UNOBSERVED,NOT_REACHED,false,true,institutional candidate formation,false,true,false,false
institutional.stress,8,STRESS,DecisionStressTestEngine,UNWIRED:DecisionStressTestEngine,UNWIRED_IN_DSI002C_BASELINE,alpha/decision_intelligence/stress.py,34476ce8eed112c591db479f2596725824126bef691abebd242a44d54515bfa5,UNAVAILABLE,,InstitutionalCandidate,UNOBSERVED,NOT_REACHED,false,true,institutional candidate formation,false,true,false,false
institutional.trade_plan_optimizer,9,INSTITUTIONAL_TRADE_PLAN,TradePlanOptimizationEngine,UNWIRED:TradePlanOptimizationEngine,UNWIRED_IN_DSI002C_BASELINE,alpha/decision_intelligence/tradeplan.py,35e7462226e8e2c74980ea2381c515d9b2cc5de2035805f078dfda9377f1a48d,UNAVAILABLE,,InstitutionalCandidate,UNOBSERVED,NOT_REACHED,false,true,institutional candidate formation,false,true,false,false
portfolio.allocation,10,PORTFOLIO_HANDOFF,CapitalAllocationEngine,alpha.portfolio_intelligence.allocation.CapitalAllocationEngine.allocate,DSI-002D-v1.0.0,alpha/portfolio_intelligence/allocation.py,c0de34b55c836fe535895795e6f9f650f1618b101b3e3f01d5efebbd4814b76a,PORTFOLIO_STATE,bdfaa97602867c77e10862e2efcefe6c97fd503e9b79935e2bda8bed810efaa4,AllocationCandidate+PortfolioContext,AllocationReport,PASS|FAIL,true,false,recommendation report available,true,false,false,true
