slice,probe_id,passed,included_in_empirical_counts
E,valid_single_gate_pass,true,false
E,multi_gate_mutation_rejection,true,false
E,unrelated_input_drift,true,false
E,pre_intervention_drift,true,false
E,semantically_invalid_override,true,false
E,still_rejected_single_gate_arm,true,false
E,approval_producing_single_gate_arm,true,false
F,one_gate_sufficient,true,false
F,two_gate_sufficient,true,false
F,multiple_inclusion_minimal_sets,true,false
F,multiple_minimum_cardinality_sets,true,false
F,inclusion_minimal_nonminimum,true,false
F,no_sufficient_set,true,false
F,search_exhaustion,true,false
F,greedy_disagreement,true,false
G,still_rejected,true,false
G,institutional_approval,true,false
G,allocation_skip,true,false
G,portfolio_ineligibility,true,false
G,entry_not_triggered,true,false
G,trade_formed,true,false
G,zero_trade_reconciled,true,false
G,unexplained_transition,true,false
H,comparable_winner,true,false
H,comparable_loser,true,false
H,not_entered,true,false
H,pending,true,false
H,plan_mismatch,true,false
H,arm_mismatch,true,false
H,point_in_time_violation,true,false
H,benchmark_unknown,true,false
I,deterministic_bootstrap,true,false
I,wilson_interval,true,false
I,insufficient_sample,true,false
I,duplicate_outcome_use,true,false
I,dependent_arms,true,false
I,jaccard_overlap,true,false
I,bh_correction,true,false
I,holm_correction,true,false
I,invalid_inferential_test,true,false
I,descriptive_only_conclusion,true,false
J,complete_population_reconciliation,true,false
J,internal_blocked_propagation,true,false
J,partial_readiness,true,false
J,descriptive_only_readiness,true,false
J,final_ready_state,true,false
J,certificate_tampering,true,false
J,artifact_tampering,true,false
