view,candidate_count,arm_row_count,approval_count,comparable_outcome_count,price_arm,interpretation_grade,result
unique_blocker_only,1,0,0,0,RAW,DESCRIPTIVE_ONLY,NO_RELIABLE_GATE_VALUE_CONCLUSION
all_observed_blockers,1,0,0,0,MIXED_OR_NA,DESCRIPTIVE_ONLY,NO_RELIABLE_GATE_VALUE_CONCLUSION
first_blocker,1,0,0,0,MIXED_OR_NA,DESCRIPTIVE_ONLY,NO_RELIABLE_GATE_VALUE_CONCLUSION
single_gate_interventions,1,135,0,0,MIXED_OR_NA,DESCRIPTIVE_ONLY,NO_RELIABLE_GATE_VALUE_CONCLUSION
all_inclusion_minimal_sets,1,0,0,0,MIXED_OR_NA,DESCRIPTIVE_ONLY,NO_RELIABLE_GATE_VALUE_CONCLUSION
minimum_cardinality_sets_only,1,0,0,0,RAW,DESCRIPTIVE_ONLY,NO_RELIABLE_GATE_VALUE_CONCLUSION
unique_minimum_sets_only,1,0,0,0,RAW,DESCRIPTIVE_ONLY,NO_RELIABLE_GATE_VALUE_CONCLUSION
completed_comparable_outcomes_only,1,0,0,0,RAW,DESCRIPTIVE_ONLY,NO_RELIABLE_GATE_VALUE_CONCLUSION
entered_trades_only,1,0,0,0,RAW,DESCRIPTIVE_ONLY,NO_RELIABLE_GATE_VALUE_CONCLUSION
RAW_only,1,0,0,0,RAW,DESCRIPTIVE_ONLY,NO_RELIABLE_GATE_VALUE_CONCLUSION
ADJUSTED_only,0,0,0,0,RAW,DESCRIPTIVE_ONLY,NO_RELIABLE_GATE_VALUE_CONCLUSION
paired_economic_candidate,1,0,0,0,MIXED_OR_NA,DESCRIPTIVE_ONLY,NO_RELIABLE_GATE_VALUE_CONCLUSION
