allocation_decision,base_decision,candidate_arm_id,candidate_exclusion_reason,complete_stack_recorded,economic_candidate_id,final_signal,input_fingerprint,observed_on,point_in_time_valid,price_view,recommendation_score,setup_stage,source,stress_state,symbol,terminal_decision,trade_plan_state
SKIP,REJECT,0009fc5f4c6286c75b88012abf9cb2b14bc3fb9fe4009653ccbac8c70d610615,,true,a250dd6a0d3d25d5d776d8916feb759c270689c00ba2a48cb18e057586422267,SELL,9523651ddcdc6f49597afdfd8fd49f002990f02784b9d60874be594a8695cb88,2026-06-16,true,RAW,35.00,INVALID,B5|DSI001,NOT_APPLICABLE,NHPC,REJECT,NOT_APPLICABLE
SKIP,REJECT,00141a418d665a11d8f6ae40d11384bcd04b0446ac7a5b4a39d7810bb4b5a8b9,,true,13b1c6d14117c80bc6688c312778fdaa783f5b83c288e6447f7b074f2d801f1e,BUY,54ec47f0cfe5f1895f695a6ccd136b9f5f40422e45028162c2586962f6b57b15,2026-06-29,true,ADJUSTED,83.76,ENTRY_READY,B5|DSI001,NOT_APPLICABLE,YESBANK,REJECT,NOT_APPLICABLE
SKIP,REJECT,002dae96a0e890c7c7424521bdbd8d2110fdd9724031ea893b6f091bba8fe6b2,,true,037c3fc899dbf43f63c4e7d86dd1f3d7057f1b420ea98057e91ccb37c185851c,AVOID,9e04e11ae43f56ee59600dffee69695ec215c684204780cd3c4e44608d342626,2026-01-01,true,ADJUSTED,49.10,BUILDING,B5|DSI001,NOT_APPLICABLE,HINDCOPPER,REJECT,NOT_APPLICABLE
SKIP,REJECT,0036a016da5e336f86791538bf2c5658e6361b78ee3cebeaed9aa05f1056a9fb,,true,368a7f1a943dee3eaa3f6e60be2f3a0fdd51ae760c7fc843f4624a524c814f68,SELL,5229240bdc7098ebb4965786e1e34e46a5d61a8ee83895977565752828de3832,2026-03-09,true,RAW,35.00,INVALID,B5|DSI001,NOT_APPLICABLE,HDFCBANK,REJECT,NOT_APPLICABLE
SKIP,REJECT,007ab0df57645d512c2030a2624a974c21b6507458c7795cd05589679c3fe93c,,true,dea9873445809cab24c1d2dced0007d1362d9cd2a140653a120ad339e9d73065,WATCHLIST,b4b8e990f093978ab9b1b3cdc53e6f29ec1109e034716c25d1da51268ab4b5d6,2026-01-27,true,ADJUSTED,64.45,BUILDING,B5|DSI001,NOT_APPLICABLE,KARURVYSYA,REJECT,NOT_APPLICABLE
SKIP,REJECT,0095d30c2aed52bad12919ac884de981d413a3bb067eee3b32c6f3a55b5a0a5b,,true,2fec2282518671049280638ac8952a417ee08805a30e3daef9fcb9971ae5871b,AVOID,2dc07b97f831b159acb250cbd7658432b3ca9ccd4d3846eafc6eea207780febc,2026-02-17,true,ADJUSTED,40.84,BUILDING,B5|DSI001,NOT_APPLICABLE,TATAGOLD,REJECT,NOT_APPLICABLE
SKIP,REJECT,00a649482898873d2fc9b37093a6a6d48da2133455ea17d318aa8570edc73809,,true,e3c7a38ce109e7a5993b08de293bc95e6f8c6b5ea83caed9a3a9c3c2f18efe13,WATCHLIST,708420b8bcf102ff133330b7b3bb3195088b1261fbaae280833c60fee20e2087,2026-05-18,true,RAW,65.13,READY_FOR_CONFIRMATION,B5|DSI001,NOT_APPLICABLE,SILVERBEES,REJECT,NOT_APPLICABLE
SKIP,REJECT,00a967a626ee64da18bfe2ac7ff5d7551f304cad83eb6b371c0f5d75805c8d45,,true,ad61c44ebcd8aee8c7148ca78a30a50c00d910c27933a2edf9d54bb92dff6d40,WATCHLIST,bd48173deb2ad69d60c5a13bdb5b66ec754fe71809e547009f37b7318421a9ba,2026-02-16,true,ADJUSTED,67.79,ENTRY_READY,B5|DSI001,NOT_APPLICABLE,GMRAIRPORT,REJECT,NOT_APPLICABLE
SKIP,REJECT,00b7bcc4b926e93401359ae4878f0c0f29320a80d9880d5f24c5a4ec8f70286e,,true,23b0638f6bbf08c369d5fd01f54d55667c5fed892f912427007f629000e98251,WATCHLIST,b3b8f2fa5708fab1211f930a4ce63fdd8f1d3f33b610511ca9c9ac6fead05142,2026-07-03,true,RAW,60.34,BUILDING,B5|DSI001,NOT_APPLICABLE,BUTTERFLY,REJECT,NOT_APPLICABLE
SKIP,REJECT,00bac472a94ad71a66e4713aea6ffecc9fc905e215453ec287ed0f885ff3a974,,true,5b5ab674f82b1e889138a5a91b8cac0e87e054c5babcf58127232b7f02d23cf4,WATCHLIST,ae3ad75aafb75fe73cd1994ed0b6ba3032d6a866b4f718dbdcf94ed68d672584,2026-06-23,true,ADJUSTED,74.00,READY_FOR_CONFIRMATION,B5|DSI001,NOT_APPLICABLE,OLAELEC,REJECT,NOT_APPLICABLE
