expected_classification,included_in_empirical_counts,passed,probe_id
EXACT_DUPLICATE,false,true,EXACT_DUPLICATE
RAW_ADJUSTED_PAIR,false,true,RAW_ADJUSTED_PAIR
MULTI_SOURCE_SAME_CANDIDATE,false,true,MULTI_SOURCE
CONFLICTING_TERMINAL_DECISION,false,true,CONFLICTING_TERMINAL
CONFLICTING_PLAN_IDENTITY,false,true,CONFLICTING_PLAN
CONFLICTING_OUTCOME_IDENTITY,false,true,CONFLICTING_OUTCOME
POINT_IN_TIME_INVALID,false,true,POINT_IN_TIME_INVALID
RECOMMENDATION_NOT_GENERATED,false,true,MISSING_RECOMMENDATION
TERMINAL_REJECT,false,true,COMPLETE_STACK_REJECTED
TERMINAL_ACCEPT,false,true,COMPLETE_STACK_APPROVED
NOT_APPLICABLE,false,true,STRESS_NOT_APPLICABLE
NOT_APPLICABLE,false,true,TRADE_PLAN_NOT_APPLICABLE
INDEPENDENT,false,true,UNIQUE_POPULATION
HIGHLY_CONCENTRATED,false,true,CONCENTRATED_POPULATION
BROAD_RESEARCH_COVERAGE,false,true,BROAD_POPULATION
READY_WITH_NO_COMPLETED_OUTCOMES,false,true,NO_OUTCOMES
READY_WITH_LIMITED_OUTCOME_COVERAGE,false,true,PARTIAL_OUTCOMES
COMPLETED_COMPARABLE_OUTCOME,false,true,COMPLETED_OUTCOME
EXACT_SIGNED_CANDIDATE,false,true,DSI002_BATCH_SUCCESS
CAPTURE_NOT_REHYDRATABLE,false,true,DSI002_UNSUPPORTED
ECONOMIC_CANDIDATE_COUNT,false,true,ARM_COUNT_GUARD
TAMPER_REJECTED,false,true,CERTIFICATE_TAMPER
