conditional_overlap,dependence_reason,independent_observations,jaccard,left_candidate_count,left_condition,overlap_count,right_candidate_count,right_condition
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.INSUFFICIENT_EVIDENCE.01,1,1,INSTITUTIONAL_BASE.INSUFFICIENT_EVIDENCE.01
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.INSUFFICIENT_EVIDENCE.01,1,1,INSTITUTIONAL_BASE.MISSING_TRADE_PLAN.01
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.INSUFFICIENT_EVIDENCE.01,1,1,INSTITUTIONAL_BASE.PENDING_ENTRY_TRIGGER.02
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.INSUFFICIENT_EVIDENCE.01,1,1,INSTITUTIONAL_BASE.POOR_DATA_COMPLETENESS.01
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.INSUFFICIENT_EVIDENCE.01,1,1,INSTITUTIONAL_BASE.WEAK_SETUP.02
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.MISSING_TRADE_PLAN.01,1,1,INSTITUTIONAL_BASE.MISSING_TRADE_PLAN.01
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.MISSING_TRADE_PLAN.01,1,1,INSTITUTIONAL_BASE.PENDING_ENTRY_TRIGGER.02
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.MISSING_TRADE_PLAN.01,1,1,INSTITUTIONAL_BASE.POOR_DATA_COMPLETENESS.01
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.MISSING_TRADE_PLAN.01,1,1,INSTITUTIONAL_BASE.WEAK_SETUP.02
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.PENDING_ENTRY_TRIGGER.02,1,1,INSTITUTIONAL_BASE.PENDING_ENTRY_TRIGGER.02
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.POOR_DATA_COMPLETENESS.01,1,1,INSTITUTIONAL_BASE.PENDING_ENTRY_TRIGGER.02
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.POOR_DATA_COMPLETENESS.01,1,1,INSTITUTIONAL_BASE.POOR_DATA_COMPLETENESS.01
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.POOR_DATA_COMPLETENESS.01,1,1,INSTITUTIONAL_BASE.WEAK_SETUP.02
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.WEAK_SETUP.01,1,1,INSTITUTIONAL_BASE.INSUFFICIENT_EVIDENCE.01
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.WEAK_SETUP.01,1,1,INSTITUTIONAL_BASE.MISSING_TRADE_PLAN.01
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.WEAK_SETUP.01,1,1,INSTITUTIONAL_BASE.PENDING_ENTRY_TRIGGER.02
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.WEAK_SETUP.01,1,1,INSTITUTIONAL_BASE.POOR_DATA_COMPLETENESS.01
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.WEAK_SETUP.01,1,1,INSTITUTIONAL_BASE.WEAK_SETUP.01
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.WEAK_SETUP.01,1,1,INSTITUTIONAL_BASE.WEAK_SETUP.02
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.WEAK_SETUP.02,1,1,INSTITUTIONAL_BASE.PENDING_ENTRY_TRIGGER.02
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.WEAK_SETUP.02,1,1,INSTITUTIONAL_BASE.WEAK_SETUP.02
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.WEAK_VERDICT.01,1,1,INSTITUTIONAL_BASE.INSUFFICIENT_EVIDENCE.01
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.WEAK_VERDICT.01,1,1,INSTITUTIONAL_BASE.MISSING_TRADE_PLAN.01
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.WEAK_VERDICT.01,1,1,INSTITUTIONAL_BASE.PENDING_ENTRY_TRIGGER.02
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.WEAK_VERDICT.01,1,1,INSTITUTIONAL_BASE.POOR_DATA_COMPLETENESS.01
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.WEAK_VERDICT.01,1,1,INSTITUTIONAL_BASE.WEAK_SETUP.01
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.WEAK_VERDICT.01,1,1,INSTITUTIONAL_BASE.WEAK_SETUP.02
1.000000,SAME_CANDIDATE_REUSED_ACROSS_ARMS,false,1.000000,1,INSTITUTIONAL_BASE.WEAK_VERDICT.01,1,1,INSTITUTIONAL_BASE.WEAK_VERDICT.01
