allocation_decision,arm_id,arm_type,base_decision,candidate_identity,entry_occurred,entry_ready,institutionally_approved,outcome_state,portfolio_eligible,stress_decision,terminal_institutional_result,trade_formed,trade_plan_decision,transition,transition_type,unchanged_policy_blocker,unexplained_transition
SKIP,ARM-15FD3DD2EBD81E61C6C3,,,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,false,false,false,COUNTERFACTUAL_PATH_UNOBSERVABLE,false,,,false,,STILL_REJECTED,PORTFOLIO_ENTRY_TRADE,INSTITUTIONAL_REJECTION,
SKIP,ARM-1DB5AA58ABF7BA37EE35,,,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,false,false,false,COUNTERFACTUAL_PATH_UNOBSERVABLE,false,,,false,,STILL_REJECTED,PORTFOLIO_ENTRY_TRADE,INSTITUTIONAL_REJECTION,
SKIP,ARM-2AF1671320911C62B00F,,,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,false,false,false,COUNTERFACTUAL_PATH_UNOBSERVABLE,false,,,false,,STILL_REJECTED,PORTFOLIO_ENTRY_TRADE,INSTITUTIONAL_REJECTION,
SKIP,ARM-46DE11917FA19AA78CE1,,,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,false,false,false,COUNTERFACTUAL_PATH_UNOBSERVABLE,false,,,false,,STILL_REJECTED,PORTFOLIO_ENTRY_TRADE,INSTITUTIONAL_REJECTION,
SKIP,ARM-6CD2E80FC5ED2D54216C,,,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,false,false,false,COUNTERFACTUAL_PATH_UNOBSERVABLE,false,,,false,,STILL_REJECTED,PORTFOLIO_ENTRY_TRADE,INSTITUTIONAL_REJECTION,
SKIP,ARM-7374A65D1E8A44345997,,,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,false,false,false,COUNTERFACTUAL_PATH_UNOBSERVABLE,false,,,false,,STILL_REJECTED,PORTFOLIO_ENTRY_TRADE,INSTITUTIONAL_REJECTION,
SKIP,ARM-8D0896715EDE79593D41,,,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,false,false,false,COUNTERFACTUAL_PATH_UNOBSERVABLE,false,,,false,,STILL_REJECTED,PORTFOLIO_ENTRY_TRADE,INSTITUTIONAL_REJECTION,
,ARM-15FD3DD2EBD81E61C6C3,SINGLE_GATE,REJECT,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,,,,,,REJECT,REJECT,,REJECT,STILL_REJECTED,APPROVAL,,false
,ARM-1DB5AA58ABF7BA37EE35,SINGLE_GATE,REJECT,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,,,,,,REJECT,REJECT,,REJECT,STILL_REJECTED,APPROVAL,,false
,ARM-2AF1671320911C62B00F,SINGLE_GATE,REJECT,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,,,,,,REJECT,REJECT,,REJECT,STILL_REJECTED,APPROVAL,,false
,ARM-46DE11917FA19AA78CE1,SINGLE_GATE,REJECT,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,,,,,,REJECT,REJECT,,REJECT,STILL_REJECTED,APPROVAL,,false
,ARM-6CD2E80FC5ED2D54216C,SINGLE_GATE,REJECT,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,,,,,,REJECT,REJECT,,REJECT,STILL_REJECTED,APPROVAL,,false
,ARM-7374A65D1E8A44345997,SINGLE_GATE,REJECT,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,,,,,,REJECT,REJECT,,REJECT,STILL_REJECTED,APPROVAL,,false
,ARM-8D0896715EDE79593D41,SINGLE_GATE,REJECT,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,,,,,,REJECT,REJECT,,REJECT,STILL_REJECTED,APPROVAL,,false
