included_in_empirical_counts,passed,probe_id
false,true,APPROVAL_PRODUCING_REMEDIATION_SET
false,true,CERTIFICATE_TAMPERING
false,true,CHANGED_DEFAULT_UNRESOLVED
false,true,COMPARABLE_OUTCOME
false,true,DEPENDENT_OUTCOMES
false,true,DOWNSTREAM_DECISION_FAILURE
false,true,EXACT_FROZEN_OBJECT
false,true,EXACT_RECONSTRUCTED_CONFLICT
false,true,EXACT_RECONSTRUCTION_PARITY
false,true,EXACT_SERIALISED_OBJECT
false,true,FINGERPRINT_FAILURE
false,true,FUTURE_DATA_INPUT
false,true,HISTORICAL_ENUM_MAPPING
false,true,MISSING_CANDLE
false,true,MISSING_FINGERPRINT_DIMENSION
false,true,NONDETERMINISTIC_RECONSTRUCTION
false,true,PLAN_MISMATCH
false,true,RENAMED_HISTORICAL_FIELD
false,true,SEMANTIC_PARITY_EXACT_FINGERPRINT
false,true,VALID_BATCH_DSI002_TRANSFER
false,true,WRONG_PRICE_ARM
false,true,ZERO_SHADOW_APPROVALS
