certificate_file,certificate_sha256,contract_version,readiness,report_sha256,source_id,source_type
NOT_LOCALLY_AVAILABLE,26f180358873de2fe1cc7427e38ac4a98abcfe612344cd3edaabdd7581a65e98,HTR-010B5-v1.0.0,READY_FOR_GOVERNED_APPROVAL_GATE_RESEARCH,9b79c4ef405aff8120ca9a318211f69a1ac11a8dc4d841f7a8d47ffc1ce9b8fd,B5,DSI003_HASH_BOUND_SOURCE_NOT_LOCAL
NOT_LOCALLY_AVAILABLE,3d9d4cef5e69e6c63b5783dcfb6fc678d7e6288254a62656c89beb83ce2754c7,HTR-010B7-v1.0.0,READY_FOR_GOVERNED_SETUP_MATCHED_EVIDENCE_RESEARCH,1da746a21e1f5e2f4fed52cd48558226dde6a686b1e8b9e8001f13cbbbc3d1c1,B7,DSI003_HASH_BOUND_SOURCE_NOT_LOCAL
NOT_LOCALLY_AVAILABLE,a09106eeed9d96510d0b4e1949a92ab3ad0e43bf3d3ade1c2c4175306d07d567,HTR-010B10-v1.0.0,BLOCKED_BY_EMPTY_ADAPTIVE_SHADOW_POPULATION,062dd8d343868c62bc455ca92d56bff5ebbe0636fee8896fa72fa27944930bb7,B10,DSI003_HASH_BOUND_SOURCE_NOT_LOCAL
NOT_LOCALLY_AVAILABLE,b19bf845e3699d151d43d22d1f1d025298b0b0bc9266a25454f006b9aefc9de4,DSI-001-v1.0.0,READY_FOR_GOVERNED_DECISION_SUPERIORITY_RESEARCH,4df1beed676b8c0e1b9e0c1a9d30119c57fed1ee9963cee8b7b914b12e44417d,DSI001,DSI003_HASH_BOUND_SOURCE_NOT_LOCAL
dsi002_gate_isolation_shadow_certificate.json,d677af4c36f88c9ec50c418fb0d786c0340f3af082bd86dd490fec2b6df34e85,DSI-002J-v1.0.0,READY_WITH_VALID_MECHANICS_AND_NO_COMPARABLE_OUTCOMES,424067b3727da85c02f34cc0cfee3cd50cf26f23f9ae8fcc57dc910317d1752c,DSI002,DSI003_BOUND_SOURCE_LOCAL
dsi002a_forward_capture_certificate.json,22d075439746a700364fcb1dac6147e0cf3dd31dedfa2cfd06a407300cad24dd,DSI-002A-v1.0.0,ACCEPTED,014ed356f0b8546ea696aa096c52b014354bbe676e3685dc326597b854392db2,DSI002A,DSI003_BOUND_SOURCE_LOCAL
dsi002b2_complete_evaluator_certificate.json,1ff592dfd26b6ff7f6c6d86a09eedd7a8b6c388c5617ee3e0897e90ebd27002d,DSI-002B2-v1.0.0,READY_FOR_COMPLETE_STACK_RECORDED_BASELINE,02a0be123328cbf9330a5a9b8405748a2865e875ff5bf4e46344375ec64eb32a,DSI002B2,DSI003_BOUND_SOURCE_LOCAL
dsi002c2_complete_stack_baseline_certificate.json,4ae21dc7ced023a25652043e2681e244eef1320816d3d755d81d220a76dfe8f6,DSI-002C2-v1.0.0,READY_FOR_COMPLETE_STACK_STAGE_ATTRIBUTION,788e452cce5a492a7b039530f9a4be8727656cef8b3a645a30d8fe9aa140cc03,DSI002C2,DSI003_BOUND_SOURCE_LOCAL
dsi002d1_wiring_repair_certificate.json,9f77ab011b1151d7f7e5a3227dca7ccc464cc9d6685be469a62fba15dad0fe8d,DSI-002D1-v1.0.0,READY_FOR_COMPLETE_STACK_BASELINE_RENEWAL,0f73bee7f0855f0818aecdedcff40b7e969efd08e6b8f2f3c8eef5a5883d4f1a,DSI002D1,DSI003_BOUND_SOURCE_LOCAL
dsi002d2_complete_stack_attribution_certificate.json,17dbd547f3ee46db01e203cca07126fe5472225bda893a8d6c28fc72855b07c2,DSI-002D2-v1.0.0,READY_FOR_GOVERNED_STAGE_ATTRIBUTION_RESEARCH,945b696dba091a6dbfb52094860053fd9025b9afe87b2ce89accba25c5127e5f,DSI002D2,DSI003_BOUND_SOURCE_LOCAL
dsi003_population_expansion_certificate.json,ff7e2590c6a5f1cbf19200f8f79bbbecc61e085548afafe49c07f4fd34d9cfae,DSI-003-v1.0.0,READY_FOR_DESCRIPTIVE_DSI_RESEARCH_ONLY,1588c4022250da343c1d006a0b66e2618e375c44a66a941dd586d36422e3ceef,DSI003,SIGNED_PREREQUISITE
engine.py,82ddd0e10427fea97c1b489ca8009eb5e3debe8d9274b928791aca89afae9539,CURRENT_SOURCE_SHA256,SOURCE_BOUND,NOT_APPLICABLE,alpha/decision_intelligence/engine.py,IMPLEMENTATION_SOURCE
engines.py,14e422f385ace3eee69561acbd518948f18a7c0411fe704157aff43d60d21c3c,CURRENT_SOURCE_SHA256,SOURCE_BOUND,NOT_APPLICABLE,alpha/recommendation_intelligence/engines.py,IMPLEMENTATION_SOURCE
gate_isolation_shadow.py,33f7cea396eeadb78e6a2d09e85124023c01df946aba48126e6f41e5a6adb8b8,CURRENT_SOURCE_SHA256,SOURCE_BOUND,NOT_APPLICABLE,alpha/decision_superiority/gate_isolation_shadow.py,IMPLEMENTATION_SOURCE
models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,CURRENT_SOURCE_SHA256,SOURCE_BOUND,NOT_APPLICABLE,alpha/recommendation_intelligence/models.py,IMPLEMENTATION_SOURCE
