admitted_for_materialisation,algorithm_source_sha256,configuration_sha256,derivability,economic_candidate_id,enum_semantics,field_path,historical_algorithm,input_window,null_semantics,policy_version,price_arm_treatment,reason,recommendation_date,rounding_semantics,symbol,timing_convention
false,UNKNOWN,UNKNOWN,DERIVABLE_BUT_HISTORICAL_ALGORITHM_UNAVAILABLE,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,UNKNOWN,indicator_inputs,RecommendationEngine input producer,UNKNOWN,ABSENT_IS_NOT_NULL_OR_ZERO,UNKNOWN,RAW_ADJUSTED_ISOLATED,historical algorithm equivalence is not proven for this candidate,2026-05-27,UNKNOWN,COALINDIA,POINT_IN_TIME_REQUIRED
false,UNKNOWN,UNKNOWN,DERIVABLE_BUT_HISTORICAL_ALGORITHM_UNAVAILABLE,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,UNKNOWN,object_schema_version,UNKNOWN,UNKNOWN,ABSENT_IS_NOT_NULL_OR_ZERO,UNKNOWN,RAW_ADJUSTED_ISOLATED,historical algorithm equivalence is not proven for this candidate,2026-05-27,UNKNOWN,COALINDIA,POINT_IN_TIME_REQUIRED
false,UNKNOWN,UNKNOWN,DERIVABLE_BUT_HISTORICAL_ALGORITHM_UNAVAILABLE,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,UNKNOWN,setup_inputs,TradeSetupEngine,UNKNOWN,ABSENT_IS_NOT_NULL_OR_ZERO,UNKNOWN,RAW_ADJUSTED_ISOLATED,historical algorithm equivalence is not proven for this candidate,2026-05-27,UNKNOWN,COALINDIA,POINT_IN_TIME_REQUIRED
false,UNKNOWN,UNKNOWN,DERIVABLE_BUT_HISTORICAL_ALGORITHM_UNAVAILABLE,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,UNKNOWN,setup_stage_inputs,TradeSetupEngine,UNKNOWN,ABSENT_IS_NOT_NULL_OR_ZERO,UNKNOWN,RAW_ADJUSTED_ISOLATED,historical algorithm equivalence is not proven for this candidate,2026-05-27,UNKNOWN,COALINDIA,POINT_IN_TIME_REQUIRED
false,UNKNOWN,UNKNOWN,DERIVABLE_BUT_HISTORICAL_ALGORITHM_UNAVAILABLE,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,UNKNOWN,indicator_inputs,RecommendationEngine input producer,UNKNOWN,ABSENT_IS_NOT_NULL_OR_ZERO,UNKNOWN,RAW_ADJUSTED_ISOLATED,historical algorithm equivalence is not proven for this candidate,2026-04-09,UNKNOWN,HFCL,POINT_IN_TIME_REQUIRED
false,UNKNOWN,UNKNOWN,DERIVABLE_BUT_HISTORICAL_ALGORITHM_UNAVAILABLE,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,UNKNOWN,object_schema_version,UNKNOWN,UNKNOWN,ABSENT_IS_NOT_NULL_OR_ZERO,UNKNOWN,RAW_ADJUSTED_ISOLATED,historical algorithm equivalence is not proven for this candidate,2026-04-09,UNKNOWN,HFCL,POINT_IN_TIME_REQUIRED
false,UNKNOWN,UNKNOWN,DERIVABLE_BUT_HISTORICAL_ALGORITHM_UNAVAILABLE,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,UNKNOWN,setup_inputs,TradeSetupEngine,UNKNOWN,ABSENT_IS_NOT_NULL_OR_ZERO,UNKNOWN,RAW_ADJUSTED_ISOLATED,historical algorithm equivalence is not proven for this candidate,2026-04-09,UNKNOWN,HFCL,POINT_IN_TIME_REQUIRED
false,UNKNOWN,UNKNOWN,DERIVABLE_BUT_HISTORICAL_ALGORITHM_UNAVAILABLE,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,UNKNOWN,setup_stage_inputs,TradeSetupEngine,UNKNOWN,ABSENT_IS_NOT_NULL_OR_ZERO,UNKNOWN,RAW_ADJUSTED_ISOLATED,historical algorithm equivalence is not proven for this candidate,2026-04-09,UNKNOWN,HFCL,POINT_IN_TIME_REQUIRED
false,UNKNOWN,UNKNOWN,DERIVABLE_BUT_HISTORICAL_ALGORITHM_UNAVAILABLE,00c05a1a5bcbd20388ff90f7e9f05280dfa4a90847cafba3afddfea8a1963a37,UNKNOWN,indicator_inputs,RecommendationEngine input producer,UNKNOWN,ABSENT_IS_NOT_NULL_OR_ZERO,UNKNOWN,RAW_ADJUSTED_ISOLATED,historical algorithm equivalence is not proven for this candidate,2026-06-17,UNKNOWN,CANBK,POINT_IN_TIME_REQUIRED
false,UNKNOWN,UNKNOWN,DERIVABLE_BUT_HISTORICAL_ALGORITHM_UNAVAILABLE,00c05a1a5bcbd20388ff90f7e9f05280dfa4a90847cafba3afddfea8a1963a37,UNKNOWN,object_schema_version,UNKNOWN,UNKNOWN,ABSENT_IS_NOT_NULL_OR_ZERO,UNKNOWN,RAW_ADJUSTED_ISOLATED,historical algorithm equivalence is not proven for this candidate,2026-06-17,UNKNOWN,CANBK,POINT_IN_TIME_REQUIRED
