empirical_counted,expected,probe
false,ACCEPT,bel_parity
false,ACCEPT,complete_materialised_snapshot
false,ACCEPT,default_capture_disabled
false,ACCEPT,exactly_derivable_value
false,ACCEPT,full_snapshot_round_trip
false,ACCEPT,retained_historical_value
false,ACCEPT,secret_redaction
false,CONFLICTING_CAPTURE_FOR_SAME_IDENTITY,conflicting_capture
false,IDENTICAL_CAPTURE_ALREADY_EXISTS,repeated_identical_capture
false,NEW_CAPTURE,new_prospective_capture
false,REJECT,ambiguous_historical_policy
false,REJECT,current_default_only_value
false,REJECT,enabled_without_recorder
false,REJECT,fingerprint_tampering
false,REJECT,future_candle
false,REJECT,future_only_derivation
false,REJECT,future_outcome
false,REJECT,materialisation_parity_failure
false,REJECT,missing_primitive
false,REJECT,plan_identity_tampering
false,REJECT,policy_hash_tampering
false,REJECT,required_unknown
false,REJECT,stage_trace_tampering
false,REJECT,wrong_price_arm
