captured,field_path,fingerprint_participation,outcome_link_participation,plan_identity_participation,required,serialization,stage_trace_participation
true,candidate_arm_ids,false,false,false,true,CANONICAL_JSON,false
true,candidate_arm_ids[],false,false,false,true,CANONICAL_JSON,false
true,capture_id,false,false,false,true,CANONICAL_JSON,false
true,complete_stack,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.generated_on,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reasons,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reasons[],false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.remaining_cash,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[],false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].correlation,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].correlation.adjusted_weight,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].correlation.original_weight,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].correlation.penalty,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].correlation.reasons,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].correlation.reasons[],false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].correlation.symbol,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].decision,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].observed_on,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].reasons,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].reasons[],false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].risk_budget,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].risk_budget.approved_weight,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].risk_budget.blocked_weight,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].risk_budget.constraints,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].risk_budget.constraints[],false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].risk_budget.reasons,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].risk_budget.reasons[],false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].risk_budget.symbol,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].sector,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].sizing,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].sizing.base_weight,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].sizing.conviction_weight,false,false,false,true,CANONICAL_JSON,true
true,complete_stack.allocation_plan.reports[].sizing.liquidity_weight,false,false,false,true,CANONICAL_JSON,true
