admitted,candidate_arm_ids,dsi005_snapshot_available,economic_candidate_id,exclusion_reason,materialisation_method,newly_admitted,newly_materialised,price_views,prior_dsi004_classification,recommendation_date,symbol
false,0009fc5f4c6286c75b88012abf9cb2b14bc3fb9fe4009653ccbac8c70d610615|1049860150db186850dca309036c0ba66a1b03ba73765bdc802a883b2057ce8b,false,a250dd6a0d3d25d5d776d8916feb759c270689c00ba2a48cb18e057586422267,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-06-16,NHPC
false,00141a418d665a11d8f6ae40d11384bcd04b0446ac7a5b4a39d7810bb4b5a8b9|403b4ac09b11e393ee3f2e9a7e283a89b2371d79ae3e97e436c4fb20b0d41415,false,13b1c6d14117c80bc6688c312778fdaa783f5b83c288e6447f7b074f2d801f1e,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-06-29,YESBANK
false,002dae96a0e890c7c7424521bdbd8d2110fdd9724031ea893b6f091bba8fe6b2|4256934675a4a22f9f152629740d981fafb1465209cc035a7c3ce1b712890844,false,037c3fc899dbf43f63c4e7d86dd1f3d7057f1b420ea98057e91ccb37c185851c,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-01-01,HINDCOPPER
false,0036a016da5e336f86791538bf2c5658e6361b78ee3cebeaed9aa05f1056a9fb|d92302f19d872a888ffc2f65eddb85658a3b9c5edd7e40c27a0094e236c24fd9,false,368a7f1a943dee3eaa3f6e60be2f3a0fdd51ae760c7fc843f4624a524c814f68,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-03-09,HDFCBANK
false,007ab0df57645d512c2030a2624a974c21b6507458c7795cd05589679c3fe93c|d5069665630b12030b44241f18fffea5073bdc416e680ab7359f5f327bfbe392,false,dea9873445809cab24c1d2dced0007d1362d9cd2a140653a120ad339e9d73065,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-01-27,KARURVYSYA
false,0095d30c2aed52bad12919ac884de981d413a3bb067eee3b32c6f3a55b5a0a5b|b2e46b4f17cbaad07f91648d4bfe486256dda55c16141b42b9dd1d5878b2eb51,false,2fec2282518671049280638ac8952a417ee08805a30e3daef9fcb9971ae5871b,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-02-17,TATAGOLD
false,00a649482898873d2fc9b37093a6a6d48da2133455ea17d318aa8570edc73809|f5cf4ef1d1dea3908eb5ada8ba21cdddb6ea76d0729feb41bd81894a50c56091,false,e3c7a38ce109e7a5993b08de293bc95e6f8c6b5ea83caed9a3a9c3c2f18efe13,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-05-18,SILVERBEES
false,00a967a626ee64da18bfe2ac7ff5d7551f304cad83eb6b371c0f5d75805c8d45|efa73feefe5c66a4f231bb46822f3e171fe555d1fcb622eceabc6c5de003a48b,false,ad61c44ebcd8aee8c7148ca78a30a50c00d910c27933a2edf9d54bb92dff6d40,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-02-16,GMRAIRPORT
false,00b7bcc4b926e93401359ae4878f0c0f29320a80d9880d5f24c5a4ec8f70286e|7e3b9d32733dc8a05c813a1138d5cb58d91b7d50c6d007a24aa18bed432af2ff,false,23b0638f6bbf08c369d5fd01f54d55667c5fed892f912427007f629000e98251,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-07-03,BUTTERFLY
false,00bac472a94ad71a66e4713aea6ffecc9fc905e215453ec287ed0f885ff3a974|49962b6cabc9cc289f1b1c63cae47bfe42d26652da1461fb9463b9acc0ef8d5c,false,5b5ab674f82b1e889138a5a91b8cac0e87e054c5babcf58127232b7f02d23cf4,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-06-23,OLAELEC
false,00d866569baa5050124d33a258c75f6421c813704041bc9bf583db6ae491f162|77d2e5902b4eee71197a9d68b52cff39c776f5867f443f59b2fa9041f38ff33c,false,f0c3bdb2103ca8affc6e7b6723e66edeb89bc5c146ae52ee596a7cfc5e7352aa,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-04-27,TATSILV
false,00e2d210a605da891c202cff25f91f43621f9b23a6e09a658809b1a0d76139f0|61e8c316a1dc5439bc0e1be23c084a3adb4d55372f3f6be6bb5883dc9533e52c,false,c899cdd9ffe6120dd528a62541b5d49bee349755bfbdf5f54150bbf9402d62c2,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-07-10,SAGILITY
false,00f06b5769e9518151f30db65af7a3454b649827b4b2ab5d98bd3dda794fa0ad|1c2d792ed3fd99d7a2ad6ab57d32834767941d00eb0db3e7bb4cfb38368fbdee,false,7b104b2db2647be82457bc6b08e2dffb7177bb29d112a982ba7445123b4577e1,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-06-16,MMTC
false,00fb8aa550b8a20d5201ad431c7237abef3f1e37e527b23b78ce0fe74c65e653|f5bf3bc867ce64e867c9dac4455a282d6380d52d976e8a24520ce0e6e9fb0bf0,false,400d0f57dc992171c2dc6a50b2e8229899c80d32ddfb52f3849a17722f878ddf,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-05-20,FCL
false,011b7e30da38e9d97d11ac0e938dfdeef8b16259eba9058d5e45b35a78c07af0|fdb44a189ad3b75aa8870d12924a227ff8ac7e95f4535efa2143cec2e30c71ac,false,b14a44e5edb9288cc071834e4affa5c319434296b641ae259b81394395665c50,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-05-12,OIL
false,0122102180e78304f8c5c3430d4760e594b4e6109489b2187c115b47843ce0db|9c377e50456087b5b0574bade5dec70fe049f8b63345a6255b604f432452af78,false,5bfae3f851be478b35c96ce4d26b3e4e2a537e3342f8406d866393784868111c,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-03-16,ADANIPOWER
false,0172f93e17855553f6ed1b14e4ad040aa51d4fc90b3eb660e161ea2c742f9a9c|f124840c1952084cd1995755c281bd6e0cd2f8c41db21c16e4135ee971b4de96,false,e9286d7e5433dcc88924b94d7b7392998d2ba304155a2df790d720ba081926a2,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-03-23,YESBANK
false,0178c291d4df872d5698b06f92e8b84aee97eab88ab31abdb9cf948e570ef2b7|ab87865f059b657255b31d161bb9ead5c1ef920012ee276910dc7bda6540043c,false,dddc61e6fdfab3f578aa50ce9617b8fad21579829f0286847cad2d2dc81faf97,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-07-06,MOTISONS
false,018cf41fd7c47d3b74f846f0534f963b9106bd4aab099067276734119b27b29a|44a30d8cf5d4916d60cee2b8a0411c762673dd9d507313c067a15fe48b622e83,false,6de1c6144824a9cf1cb180b7d76e3f4ff665aae67a8362804dac0ef3647d2dfa,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-06-03,YESBANK
false,01b3d680a1e0743d3faf956375d754eb2540689c3d53972788586dc2f8c5ccc8|f8113404aae1d2978b894ef083c250e4a9ead98a27c13cc334d7d9a0f92cf31a,false,4f8ae69276e2cabb1b14cb13145a7dba9d5c83aff96fff307f236526e41d41d6,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-02-26,TATAGOLD
false,01d269abeac201febc1e39be450dbfda759b761155a874cc242370f4faf88d62|bbee6fda75018dca70176459fbdd4a1161072a199f08153a43524dc4382cd554,false,b209c6566f5206a94fc37ffff4fe0acffc59b6e8755f5e379755035745cc924e,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-06-02,IFCI
false,01f8b2395ec5e3d05702911d34efc5603d2ad8a89782532e9a69395e829dfc45|9c54064c0767516a97df68c8a23a9d1cc9bf9298e618ced62921150e3210cdba,false,f7cbc7e0e47469e8a77b01e3254fa9b30cf9dafb2cbbcce4394c370b9cf13914,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-05-15,NAZARA
false,01fbdb1b75d01dcfba827b78160c57d0ced9e82451892395e0ba2385e8f23056|699bfed8a8d360a4a3f54dc63fd39b039bb5c432c87384adc183757c7c375c07,false,fccd1da5eb7a9de1441d908aecd0d46922f3faa6eea1a1e804e13d0a9ac6282a,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-01-02,SILVERBEES
false,022a4614887f38d9c81de3d5792af0c1c95da16cd1d9aa5c7d2beb6c28e73925|25971b99a6adc81dac7013be3020c633368c2b45acbae5822e1aff3c12cefb1f,false,6801d7cfb96b304882ead144504b0c87b5dd8d731935cae9fec5c2d87c415968,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-02-12,GOLDBEES
false,023a65d7caad8fe8c2114b9fde4f90abf5fb7f9c36e1293df3753a69e7296af9|073486b27faf124cbc4bb761e3be2b4879b88eb2d0f0c0ac6c53828faebed420,false,795a25073a89f80a63d6f3623a3f1d3f2038f92c7f31242415ad0d5e9dca15a7,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-05-11,TATAGOLD
false,02418feb87fd30d4dbc4e073f89ecb88e339a3ed12e9bb05df68555ffb17cf11|f6ed845fc68defa926ca4297a60e425b2d2bf944a77230e13b04fedc5565f8ad,false,800cb9c7755f63d592bd6f755efdd9449199f2a7c0034ef74d77d8db1e24ba72,COMPLETE_FROZEN_INPUTS_UNAVAILABLE,NONE,false,false,ADJUSTED|RAW,REQUIRED_INPUT_UNAVAILABLE,2026-03-19,FINKURVE
