empirical_population,passed,probe_id,production_influence
false,true,DEFAULT_CAPTURE_DISABLED,false
false,true,EXPLICIT_RESEARCH_CAPTURE_ENABLED,false
false,true,ENABLED_WITHOUT_RECORDER_BLOCKED,false
false,true,NONEMPTY_GENUINE_SESSION_SUPPORTED,false
false,true,ZERO_RECOMMENDATION_SESSION_SUPPORTED,false
false,true,NEW_PACKAGE_SUPPORTED,false
false,true,IDENTICAL_REPEAT_IDEMPOTENT,false
false,true,CONFLICTING_REPEAT_BLOCKED,false
false,true,ATOMIC_WRITE_INTERRUPTION_RECOVERABLE,false
false,true,STALE_TEMPORARY_PACKAGE_RECOVERABLE,false
false,true,INDEX_REBUILD_SUPPORTED,false
false,true,RAW_ADJUSTED_PAIRING_SUPPORTED,false
false,true,OUTCOME_PENDING_PRESERVED,false
false,true,COMPLETED_OUTCOME_SUPPORTED,false
false,true,CONFLICTING_COMPLETED_OUTCOME_BLOCKED,false
false,true,FUTURE_OUTCOME_LEAKAGE_BLOCKED,false
false,true,FULL_SNAPSHOT_REPLAY_SUPPORTED,false
false,true,SOURCE_HASH_DRIFT_BLOCKED,false
false,true,POLICY_HASH_DRIFT_BLOCKED,false
false,true,DSI002_MECHANICAL_REPLAY_GOVERNED,false
false,true,ZERO_SHADOW_APPROVAL_PRESERVED,false
false,true,CAPTURE_PATH_TRAVERSAL_BLOCKED,false
false,true,SECRET_REJECTION_INHERITED_AND_TESTED,false
false,true,PACKAGE_TAMPERING_BLOCKED,false
false,true,OUTCOME_EVENT_TAMPERING_BLOCKED,false
