trading_date,status,downloaded,validated,ingested_rows,snapshot_path,evidence_complete,error,candle_ingestion,evidence_completeness
2026-01-01,skipped,True,True,3227,alpha_data/snapshots/nse/2026/2026-01-01.json,False,,already_available,incomplete
2026-01-02,skipped,True,True,3252,alpha_data/snapshots/nse/2026/2026-01-02.json,False,,already_available,incomplete
2026-01-05,skipped,True,True,3262,alpha_data/snapshots/nse/2026/2026-01-05.json,False,,already_available,incomplete
2026-01-06,skipped,True,True,3239,alpha_data/snapshots/nse/2026/2026-01-06.json,False,,already_available,incomplete
2026-01-07,skipped,True,True,3250,alpha_data/snapshots/nse/2026/2026-01-07.json,False,,already_available,incomplete
2026-01-08,skipped,True,True,3249,alpha_data/snapshots/nse/2026/2026-01-08.json,False,,already_available,incomplete
2026-01-09,skipped,True,True,3244,alpha_data/snapshots/nse/2026/2026-01-09.json,False,,already_available,incomplete
2026-01-12,skipped,True,True,3240,alpha_data/snapshots/nse/2026/2026-01-12.json,False,,already_available,incomplete
2026-01-13,skipped,True,True,3249,alpha_data/snapshots/nse/2026/2026-01-13.json,False,,already_available,incomplete
2026-01-14,skipped,True,True,3244,alpha_data/snapshots/nse/2026/2026-01-14.json,False,,already_available,incomplete
2026-01-15,unavailable,False,False,0,,,official archive returned HTTP 404,not_available,not_applicable
2026-01-16,skipped,True,True,3276,alpha_data/snapshots/nse/2026/2026-01-16.json,False,,already_available,incomplete
2026-01-19,skipped,True,True,3297,alpha_data/snapshots/nse/2026/2026-01-19.json,False,,already_available,incomplete
2026-01-20,skipped,True,True,3310,alpha_data/snapshots/nse/2026/2026-01-20.json,False,,already_available,incomplete
2026-01-21,skipped,True,True,3303,alpha_data/snapshots/nse/2026/2026-01-21.json,False,,already_available,incomplete
2026-01-22,skipped,True,True,3270,alpha_data/snapshots/nse/2026/2026-01-22.json,False,,already_available,incomplete
2026-01-23,skipped,True,True,3261,alpha_data/snapshots/nse/2026/2026-01-23.json,False,,already_available,incomplete
2026-01-26,unavailable,False,False,0,,,official archive returned HTTP 404,not_available,not_applicable
2026-01-27,skipped,True,True,3318,alpha_data/snapshots/nse/2026/2026-01-27.json,False,,already_available,incomplete
2026-01-28,skipped,True,True,3287,alpha_data/snapshots/nse/2026/2026-01-28.json,False,,already_available,incomplete
2026-01-29,skipped,True,True,3308,alpha_data/snapshots/nse/2026/2026-01-29.json,False,,already_available,incomplete
2026-01-30,skipped,True,True,3262,alpha_data/snapshots/nse/2026/2026-01-30.json,False,,already_available,incomplete
2026-02-02,skipped,True,True,3289,alpha_data/snapshots/nse/2026/2026-02-02.json,False,,already_available,incomplete
2026-02-03,skipped,True,True,3320,alpha_data/snapshots/nse/2026/2026-02-03.json,False,,already_available,incomplete
2026-02-04,skipped,True,True,3299,alpha_data/snapshots/nse/2026/2026-02-04.json,False,,already_available,incomplete
2026-02-05,skipped,True,True,3247,alpha_data/snapshots/nse/2026/2026-02-05.json,False,,already_available,incomplete
2026-02-06,skipped,True,True,3245,alpha_data/snapshots/nse/2026/2026-02-06.json,False,,already_available,incomplete
2026-02-09,skipped,True,True,3309,alpha_data/snapshots/nse/2026/2026-02-09.json,False,,already_available,incomplete
2026-02-10,skipped,True,True,3272,alpha_data/snapshots/nse/2026/2026-02-10.json,False,,already_available,incomplete
2026-02-11,skipped,True,True,3255,alpha_data/snapshots/nse/2026/2026-02-11.json,False,,already_available,incomplete
2026-02-12,skipped,True,True,3266,alpha_data/snapshots/nse/2026/2026-02-12.json,False,,already_available,incomplete
2026-02-13,skipped,True,True,3250,alpha_data/snapshots/nse/2026/2026-02-13.json,False,,already_available,incomplete
2026-02-16,skipped,True,True,3270,alpha_data/snapshots/nse/2026/2026-02-16.json,False,,already_available,incomplete
2026-02-17,skipped,True,True,3255,alpha_data/snapshots/nse/2026/2026-02-17.json,False,,already_available,incomplete
2026-02-18,skipped,True,True,3285,alpha_data/snapshots/nse/2026/2026-02-18.json,False,,already_available,incomplete
2026-02-19,skipped,True,True,3254,alpha_data/snapshots/nse/2026/2026-02-19.json,False,,already_available,incomplete
2026-02-20,skipped,True,True,3255,alpha_data/snapshots/nse/2026/2026-02-20.json,False,,already_available,incomplete
2026-02-23,skipped,True,True,3288,alpha_data/snapshots/nse/2026/2026-02-23.json,False,,already_available,incomplete
2026-02-24,skipped,True,True,3279,alpha_data/snapshots/nse/2026/2026-02-24.json,False,,already_available,incomplete
2026-02-25,skipped,True,True,3291,alpha_data/snapshots/nse/2026/2026-02-25.json,False,,already_available,incomplete
2026-02-26,skipped,True,True,3265,alpha_data/snapshots/nse/2026/2026-02-26.json,False,,already_available,incomplete
2026-02-27,skipped,True,True,3243,alpha_data/snapshots/nse/2026/2026-02-27.json,False,,already_available,incomplete
2026-03-02,skipped,True,True,3304,alpha_data/snapshots/nse/2026/2026-03-02.json,False,,already_available,incomplete
2026-03-03,unavailable,False,False,0,,,official archive returned HTTP 404,not_available,not_applicable
2026-03-04,skipped,True,True,3346,alpha_data/snapshots/nse/2026/2026-03-04.json,False,,already_available,incomplete
2026-03-05,skipped,True,True,3341,alpha_data/snapshots/nse/2026/2026-03-05.json,False,,already_available,incomplete
2026-03-06,skipped,True,True,3303,alpha_data/snapshots/nse/2026/2026-03-06.json,False,,already_available,incomplete
2026-03-09,skipped,True,True,3379,alpha_data/snapshots/nse/2026/2026-03-09.json,False,,already_available,incomplete
2026-03-10,skipped,True,True,3312,alpha_data/snapshots/nse/2026/2026-03-10.json,False,,already_available,incomplete
2026-03-11,skipped,True,True,3306,alpha_data/snapshots/nse/2026/2026-03-11.json,False,,already_available,incomplete
2026-03-12,skipped,True,True,3313,alpha_data/snapshots/nse/2026/2026-03-12.json,False,,already_available,incomplete
2026-03-13,skipped,True,True,3325,alpha_data/snapshots/nse/2026/2026-03-13.json,False,,already_available,incomplete
2026-03-16,skipped,True,True,3378,alpha_data/snapshots/nse/2026/2026-03-16.json,False,,already_available,incomplete
2026-03-17,skipped,True,True,3331,alpha_data/snapshots/nse/2026/2026-03-17.json,False,,already_available,incomplete
2026-03-18,skipped,True,True,3340,alpha_data/snapshots/nse/2026/2026-03-18.json,False,,already_available,incomplete
2026-03-19,skipped,True,True,3312,alpha_data/snapshots/nse/2026/2026-03-19.json,False,,already_available,incomplete
2026-03-20,skipped,True,True,3328,alpha_data/snapshots/nse/2026/2026-03-20.json,False,,already_available,incomplete
2026-03-23,skipped,True,True,3427,alpha_data/snapshots/nse/2026/2026-03-23.json,False,,already_available,incomplete
2026-03-24,skipped,True,True,3374,alpha_data/snapshots/nse/2026/2026-03-24.json,False,,already_available,incomplete
2026-03-25,skipped,True,True,3373,alpha_data/snapshots/nse/2026/2026-03-25.json,False,,already_available,incomplete
2026-03-26,unavailable,False,False,0,,,official archive returned HTTP 404,not_available,not_applicable
2026-03-27,skipped,True,True,3393,alpha_data/snapshots/nse/2026/2026-03-27.json,False,,already_available,incomplete
2026-03-30,skipped,True,True,3418,alpha_data/snapshots/nse/2026/2026-03-30.json,False,,already_available,incomplete
2026-03-31,unavailable,False,False,0,,,official archive returned HTTP 404,not_available,not_applicable
2026-04-01,skipped,True,True,3326,alpha_data/snapshots/nse/2026/2026-04-01.json,False,,already_available,incomplete
2026-04-02,skipped,True,True,3313,alpha_data/snapshots/nse/2026/2026-04-02.json,False,,already_available,incomplete
2026-04-03,unavailable,False,False,0,,,official archive returned HTTP 404,not_available,not_applicable
2026-04-06,skipped,True,True,3350,alpha_data/snapshots/nse/2026/2026-04-06.json,False,,already_available,incomplete
2026-04-07,skipped,True,True,3317,alpha_data/snapshots/nse/2026/2026-04-07.json,False,,already_available,incomplete
2026-04-08,skipped,True,True,3376,alpha_data/snapshots/nse/2026/2026-04-08.json,False,,already_available,incomplete
2026-04-09,skipped,True,True,3326,alpha_data/snapshots/nse/2026/2026-04-09.json,False,,already_available,incomplete
2026-04-10,skipped,True,True,3349,alpha_data/snapshots/nse/2026/2026-04-10.json,False,,already_available,incomplete
2026-04-13,skipped,True,True,3329,alpha_data/snapshots/nse/2026/2026-04-13.json,False,,already_available,incomplete
2026-04-14,unavailable,False,False,0,,,official archive returned HTTP 404,not_available,not_applicable
2026-04-15,skipped,True,True,3367,alpha_data/snapshots/nse/2026/2026-04-15.json,False,,already_available,incomplete
2026-04-16,skipped,True,True,3330,alpha_data/snapshots/nse/2026/2026-04-16.json,False,,already_available,incomplete
2026-04-17,skipped,True,True,3356,alpha_data/snapshots/nse/2026/2026-04-17.json,False,,already_available,incomplete
2026-04-20,skipped,True,True,3430,alpha_data/snapshots/nse/2026/2026-04-20.json,False,,already_available,incomplete
2026-04-21,skipped,True,True,3440,alpha_data/snapshots/nse/2026/2026-04-21.json,False,,already_available,incomplete
2026-04-22,skipped,True,True,3402,alpha_data/snapshots/nse/2026/2026-04-22.json,False,,already_available,incomplete
2026-04-23,skipped,True,True,3400,alpha_data/snapshots/nse/2026/2026-04-23.json,False,,already_available,incomplete
2026-04-24,skipped,True,True,3403,alpha_data/snapshots/nse/2026/2026-04-24.json,False,,already_available,incomplete
2026-04-27,skipped,True,True,3451,alpha_data/snapshots/nse/2026/2026-04-27.json,False,,already_available,incomplete
2026-04-28,skipped,True,True,3383,alpha_data/snapshots/nse/2026/2026-04-28.json,False,,already_available,incomplete
2026-04-29,skipped,True,True,3399,alpha_data/snapshots/nse/2026/2026-04-29.json,False,,already_available,incomplete
2026-04-30,skipped,True,True,3374,alpha_data/snapshots/nse/2026/2026-04-30.json,False,,already_available,incomplete
2026-05-01,unavailable,False,False,0,,,official archive returned HTTP 404,not_available,not_applicable
2026-05-04,skipped,True,True,3435,alpha_data/snapshots/nse/2026/2026-05-04.json,False,,already_available,incomplete
2026-05-05,skipped,True,True,3397,alpha_data/snapshots/nse/2026/2026-05-05.json,False,,already_available,incomplete
2026-05-06,skipped,True,True,3379,alpha_data/snapshots/nse/2026/2026-05-06.json,False,,already_available,incomplete
2026-05-07,skipped,True,True,3397,alpha_data/snapshots/nse/2026/2026-05-07.json,False,,already_available,incomplete
2026-05-08,skipped,True,True,3393,alpha_data/snapshots/nse/2026/2026-05-08.json,False,,already_available,incomplete
2026-05-11,skipped,True,True,3427,alpha_data/snapshots/nse/2026/2026-05-11.json,False,,already_available,incomplete
2026-05-12,skipped,True,True,3391,alpha_data/snapshots/nse/2026/2026-05-12.json,False,,already_available,incomplete
2026-05-13,skipped,True,True,3381,alpha_data/snapshots/nse/2026/2026-05-13.json,False,,already_available,incomplete
2026-05-14,skipped,True,True,3378,alpha_data/snapshots/nse/2026/2026-05-14.json,False,,already_available,incomplete
2026-05-15,skipped,True,True,3370,alpha_data/snapshots/nse/2026/2026-05-15.json,False,,already_available,incomplete
2026-05-18,skipped,True,True,3417,alpha_data/snapshots/nse/2026/2026-05-18.json,False,,already_available,incomplete
2026-05-19,skipped,True,True,3359,alpha_data/snapshots/nse/2026/2026-05-19.json,False,,already_available,incomplete
2026-05-20,skipped,True,True,3374,alpha_data/snapshots/nse/2026/2026-05-20.json,False,,already_available,incomplete
2026-05-21,skipped,True,True,3385,alpha_data/snapshots/nse/2026/2026-05-21.json,False,,already_available,incomplete
2026-05-22,skipped,True,True,3374,alpha_data/snapshots/nse/2026/2026-05-22.json,False,,already_available,incomplete
2026-05-25,skipped,True,True,3426,alpha_data/snapshots/nse/2026/2026-05-25.json,False,,already_available,incomplete
2026-05-26,skipped,True,True,3429,alpha_data/snapshots/nse/2026/2026-05-26.json,False,,already_available,incomplete
2026-05-27,skipped,True,True,3425,alpha_data/snapshots/nse/2026/2026-05-27.json,False,,already_available,incomplete
2026-05-28,unavailable,False,False,0,,,official archive returned HTTP 404,not_available,not_applicable
2026-05-29,skipped,True,True,3426,alpha_data/snapshots/nse/2026/2026-05-29.json,False,,already_available,incomplete
2026-06-01,skipped,True,True,3459,alpha_data/snapshots/nse/2026/2026-06-01.json,False,,already_available,incomplete
2026-06-02,skipped,True,True,3433,alpha_data/snapshots/nse/2026/2026-06-02.json,False,,already_available,incomplete
2026-06-03,skipped,True,True,3408,alpha_data/snapshots/nse/2026/2026-06-03.json,False,,already_available,incomplete
2026-06-04,skipped,True,True,3400,alpha_data/snapshots/nse/2026/2026-06-04.json,False,,already_available,incomplete
2026-06-05,skipped,True,True,3417,alpha_data/snapshots/nse/2026/2026-06-05.json,False,,already_available,incomplete
2026-06-08,skipped,True,True,3414,alpha_data/snapshots/nse/2026/2026-06-08.json,False,,already_available,incomplete
2026-06-09,skipped,True,True,3402,alpha_data/snapshots/nse/2026/2026-06-09.json,False,,already_available,incomplete
2026-06-10,skipped,True,True,3380,alpha_data/snapshots/nse/2026/2026-06-10.json,False,,already_available,incomplete
2026-06-11,skipped,True,True,3368,alpha_data/snapshots/nse/2026/2026-06-11.json,False,,already_available,incomplete
2026-06-12,skipped,True,True,3396,alpha_data/snapshots/nse/2026/2026-06-12.json,False,,already_available,incomplete
2026-06-15,skipped,True,True,3455,alpha_data/snapshots/nse/2026/2026-06-15.json,False,,already_available,incomplete
2026-06-16,skipped,True,True,3420,alpha_data/snapshots/nse/2026/2026-06-16.json,False,,already_available,incomplete
2026-06-17,skipped,True,True,3434,alpha_data/snapshots/nse/2026/2026-06-17.json,False,,already_available,incomplete
2026-06-18,skipped,True,True,3388,alpha_data/snapshots/nse/2026/2026-06-18.json,False,,already_available,incomplete
2026-06-19,skipped,True,True,3403,alpha_data/snapshots/nse/2026/2026-06-19.json,False,,already_available,incomplete
2026-06-22,skipped,True,True,3457,alpha_data/snapshots/nse/2026/2026-06-22.json,False,,already_available,incomplete
2026-06-23,skipped,True,True,3404,alpha_data/snapshots/nse/2026/2026-06-23.json,False,,already_available,incomplete
2026-06-24,skipped,True,True,3417,alpha_data/snapshots/nse/2026/2026-06-24.json,False,,already_available,incomplete
2026-06-25,skipped,True,True,3428,alpha_data/snapshots/nse/2026/2026-06-25.json,False,,already_available,incomplete
2026-06-26,unavailable,False,False,0,,,official archive returned HTTP 404,not_available,not_applicable
2026-06-29,skipped,True,True,3479,alpha_data/snapshots/nse/2026/2026-06-29.json,False,,already_available,incomplete
2026-06-30,skipped,True,True,3419,alpha_data/snapshots/nse/2026/2026-06-30.json,False,,already_available,incomplete
2026-07-01,skipped,True,True,3430,alpha_data/snapshots/nse/2026/2026-07-01.json,False,,already_available,incomplete
2026-07-02,skipped,True,True,3463,alpha_data/snapshots/nse/2026/2026-07-02.json,False,,already_available,incomplete
