session_date,classification,evidence
2026-01-15,UNRESOLVED,Absent from daily_candle and no certified holiday evidence found
2026-01-26,UNRESOLVED,Absent from daily_candle and no certified holiday evidence found
2026-03-03,UNRESOLVED,Absent from daily_candle and no certified holiday evidence found
2026-03-26,UNRESOLVED,Absent from daily_candle and no certified holiday evidence found
2026-03-31,UNRESOLVED,Absent from daily_candle and no certified holiday evidence found
2026-04-03,UNRESOLVED,Absent from daily_candle and no certified holiday evidence found
2026-04-14,UNRESOLVED,Absent from daily_candle and no certified holiday evidence found
2026-05-01,UNRESOLVED,Absent from daily_candle and no certified holiday evidence found
2026-05-28,UNRESOLVED,Absent from daily_candle and no certified holiday evidence found
2026-06-26,UNRESOLVED,Absent from daily_candle and no certified holiday evidence found
