dataset_key,relative_path,role,size_bytes,row_count,columns,first_date,last_date,schema_match,usable_records,exclusion_reason
corporate_actions,alpha/point_in_time_universe/corporate_actions.py,CODE,2984,,,,,False,False,
corporate_actions,alpha/market_truth/corporate_action_service.py,CODE,1189,,,,,False,False,
corporate_actions,.alpha/warehouse_delta/WDA_v1.0/corporate_action_delta.csv,RAW_CANDIDATE,1355,5,"event_type,legacy_events,comparison_events,indicator_changing_events,replay_changing_events,status,explanation,manifest_hash",,,False,False,
corporate_actions,.alpha/data_platform/HTA_v1.0/corporate_actions.parquet,RAW_CANDIDATE,2407,,,,,False,False,
corporate_actions,.alpha/point_in_time_universe/POINT_IN_TIME_UNIVERSE_v1.0/corporate_actions.csv,RAW_CANDIDATE,119,0,"action_id,security_id,action_type,effective_date,ratio,old_symbol,new_symbol,predecessors,successors,source,confidence",,,False,False,
security_identity,alpha/point_in_time_universe/security_master.py,CODE,2756,,,,,False,False,
security_identity,.alpha/data_platform/HTA_v1.0/security_master.json,RAW_CANDIDATE,115,1,"corporate_action_lineage,identities,identity_count,version",,,False,False,
security_identity,.alpha/point_in_time_universe/POINT_IN_TIME_UNIVERSE_v1.0/security_master.json,RAW_CANDIDATE,3670907,5340,"active_status,confidence,corporate_action_lineage,current_symbol,delisting_date,exchange,historical_symbols,instrument_type,isin,listing_date,security_id,source",,,True,True,
security_identity,iris-desktop/node_modules/@babel/helpers/lib/helpers/assertThisInitialized.js,OTHER,350,,,,,False,False,unsupported file type
security_identity,iris-desktop/node_modules/@babel/helpers/lib/helpers/assertThisInitialized.js.map,OTHER,594,,,,,False,False,unsupported file type
listing_history,alpha/point_in_time_universe/delisting_history.py,CODE,754,,,,,False,False,
listing_history,alpha/point_in_time_universe/listing_history.py,CODE,1436,,,,,False,False,
listing_history,.alpha/point_in_time_universe/POINT_IN_TIME_UNIVERSE_v1.0/listing_history.csv,RAW_CANDIDATE,543291,5340,"security_id,symbol,first_local_observation,last_local_observation,official_listing_date,official_delisting_date,suspended_periods,relisting_dates,source,confidence",,,True,True,
delisting_history,alpha/point_in_time_universe/delisting_history.py,CODE,754,,,,,False,False,
benchmark_history,docs/CANONICAL_ALPHA_BENCHMARK_REPLAY.md,DOCUMENTATION,6534,,,,,False,False,non-data text file
benchmark_history,alpha/market_intelligence/benchmark.py,CODE,31468,,,,,False,False,
benchmark_history,alpha/strategy_lab/benchmarking.py,CODE,501,,,,,False,False,
benchmark_history,alpha/portfolio/optimizer_benchmark.py,CODE,9899,,,,,False,False,
benchmark_history,alpha/application/benchmark_cli.py,CODE,11310,,,,,False,False,
benchmark_history,tests/market_intelligence/test_benchmark_market_state.py,FIXTURE,5781,,,,,False,False,test or fixture file
benchmark_history,tests/portfolio/test_optimizer_benchmark.py,FIXTURE,4637,,,,,False,False,test or fixture file
benchmark_history,.alpha/benchmark/ALPHA_BASELINE_v1.0/benchmark_comparison.csv,RAW_CANDIDATE,526,3,"benchmark,availability,start_date,end_date,starting_value,ending_value,total_return_percent,cagr_percent,excess_cagr_percent,reason",,,False,False,
benchmark_history,.alpha/benchmark/CABR_RESEARCH_160CAB0CD8A5535A/benchmark_comparison.csv,RAW_CANDIDATE,598,3,"benchmark,availability,start_date,end_date,starting_value,ending_value,total_return_percent,cagr_percent,excess_cagr_percent,reason",,,False,False,
benchmark_history,.alpha/benchmark/DSA_V1_INPUT_2026-01-01_2026-07-20/benchmark_comparison.csv,RAW_CANDIDATE,610,3,"benchmark,availability,start_date,end_date,starting_value,ending_value,total_return_percent,cagr_percent,excess_cagr_percent,reason",,,False,False,
benchmark_history,.alpha/benchmark/CABR_RESEARCH_17398C2FB4A62D67/benchmark_comparison.csv,RAW_CANDIDATE,598,3,"benchmark,availability,start_date,end_date,starting_value,ending_value,total_return_percent,cagr_percent,excess_cagr_percent,reason",,,False,False,
benchmark_history,.alpha/benchmark/CABR_RESEARCH_8F04C1344335A809/benchmark_comparison.csv,RAW_CANDIDATE,610,3,"benchmark,availability,start_date,end_date,starting_value,ending_value,total_return_percent,cagr_percent,excess_cagr_percent,reason",,,False,False,
sector_mapping,alpha/point_in_time_universe/sector_history.py,CODE,1924,,,,,False,False,
sector_mapping,alpha/market_intelligence/sector_source_feasibility.py,SOURCE_PROOF,65952,,,,,False,False,
sector_mapping,alpha/market_intelligence/historical_sector.py,CODE,79977,,,,,False,False,
sector_mapping,tests/market_intelligence/test_sector_source_feasibility.py,FIXTURE,11398,,,,,False,False,test or fixture file
sector_mapping,.alpha/canonical_integrity/ALPHA_CANONICAL_v1.0/acu_after_drawdown_repair/sector_opportunities.csv,RAW_CANDIDATE,255,1,"sector,candidates,approved_opportunities,average_opportunities_per_day,completed_outcomes,win_rate,average_realized_return_pct,average_expected_return,industry,theme,market_cap",,,False,False,
sector_mapping,.alpha/canonical_integrity/ALPHA_CANONICAL_v1.0/acu_before/sector_opportunities.csv,RAW_CANDIDATE,255,1,"sector,candidates,approved_opportunities,average_opportunities_per_day,completed_outcomes,win_rate,average_realized_return_pct,average_expected_return,industry,theme,market_cap",,,False,False,
sector_mapping,.alpha/acu/ALPHA_CANONICAL_v1.0/sector_opportunities.csv,RAW_CANDIDATE,255,1,"sector,candidates,approved_opportunities,average_opportunities_per_day,completed_outcomes,win_rate,average_realized_return_pct,average_expected_return,industry,theme,market_cap",,,False,False,
sector_mapping,.alpha/point_in_time_universe/POINT_IN_TIME_UNIVERSE_v1.0/sector_history.csv,RAW_CANDIDATE,304461,5340,"security_id,effective_from,effective_to,sector,industry,source,confidence,status",,,False,False,
index_constituents,alpha/point_in_time_universe/index_membership.py,CODE,3314,,,,,False,False,
index_constituents,alpha/historical_truth_acquisition/index_membership.py,CODE,6077,,,,,False,False,
index_constituents,.alpha/data_platform/HTA_v1.0/index_membership.parquet,RAW_CANDIDATE,1903,,,,,False,False,
index_constituents,.alpha/point_in_time_universe/POINT_IN_TIME_UNIVERSE_v1.0/index_membership_changes.csv,RAW_CANDIDATE,500666,9864,"date,index,status,member_count,additions,removals,source,confidence",2016-07-08,2026-07-10,False,False,
