dataset_key,dataset_name,required,blocking,capability,status,evidence,matched_tables,matched_files,row_count,first_date,last_date,observed_sessions,expected_sessions,missing_sessions,coverage_percent,certification_ready,limitation,diagnostic_only,production_influence
corporate_actions,Corporate Actions,True,True,Adjusted returns,PRESENT_EMPTY,tables=main.corporate_action; available_snapshots=0,main.corporate_action,0,0,,,,,,,False,A canonical table exists but has no rows for the period.,True,False
security_identity,Security Identity History,True,True,Point-in-time identity,PARTIAL,tables=main.security_identity; candle_rows=446154; candle_isin_rows=446154; candle_isin_coverage=100.00%; identity_snapshots=0,main.security_identity,0,0,,,,,,100.00,False,"Candle ISIN and/or snapshot identity evidence exists, but the dedicated effective-dated identity history is not complete.",True,False
listing_history,Listing History,True,True,Survivorship-free replay,MISSING,none,,0,,,,,,,,False,"No matching warehouse, archive, or snapshot evidence found.",True,False
delisting_history,Delisting/Suspension History,True,True,Survivorship-free replay,MISSING,none,,0,,,,,,,,False,"No matching warehouse, archive, or snapshot evidence found.",True,False
trading_calendar,Trading Calendar,True,True,Session alignment,DERIVED_ONLY,derived_snapshot_sessions=133,,0,,2026-01-01,2026-07-20,133,143,10,93.01,False,"Observed sessions can be derived from snapshots, but the official exchange trading calendar and holiday evidence are not certified.",True,False
benchmark_history,Benchmark History,True,True,Benchmark-relative returns,MISSING,available_snapshots=0,,0,,,,,,,,False,"No matching warehouse, archive, or snapshot evidence found.",True,False
sector_mapping,Historical Sector Mapping,True,True,Sector attribution,MISSING,none,,0,,,,,,,,False,"No matching warehouse, archive, or snapshot evidence found.",True,False
index_constituents,Historical Index Constituents,True,False,Point-in-time universes,MISSING,none,,0,,,,,,,,False,"No matching warehouse, archive, or snapshot evidence found.",True,False
market_breadth,Market Breadth,False,False,Market regime,MISSING,none,,0,,,,,,,,False,"No matching warehouse, archive, or snapshot evidence found.",True,False
delivery_percentage,Delivery Percentage,False,False,Liquidity intelligence,MISSING,available_snapshots=0,,0,,,,,,,,False,"No matching warehouse, archive, or snapshot evidence found.",True,False
volatility_index,Volatility Index,False,False,Risk regime,MISSING,available_snapshots=0,,0,,,,,,,,False,"No matching warehouse, archive, or snapshot evidence found.",True,False
