dataset_id,dataset,domain,information_gain,decision_gain,infrastructure_gain,infrastructure_subsystem_count,subsystems,replay_gain,engineering_cost,maintenance_cost,cost_status,annual_cost_inr,confidence,overall_roi,priority_index,production_influence,replay_cagr,replay_drawdown,replay_sharpe,replay_opportunity_capture,replay_candidate_recall,replay_approval_recall
bonuses,Bonuses,CORPORATE_ACTION,100,73,46,4,REPLAY|FEATURE_ATTRIBUTION|PERFORMANCE|LEARNING,HIGH,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,HIGH,MEDIUM,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN
corporate_actions,Corporate Actions,CORPORATE_ACTION,100,80,100,10,REPLAY|FEATURE_ATTRIBUTION|CANDIDATE_GENERATION|GATE_TRUTH|MARKET_OPPORTUNITY|MARKET_DNA|STRATEGY_LAB|LEARNING|PORTFOLIO|PERFORMANCE,HIGH,HIGH,HIGH,PUBLISHED,500000,HIGH,MEDIUM,42,false,HIGH,HIGH,HIGH,MEDIUM,UNKNOWN,MEDIUM
delisting_history,Delisting History,IDENTITY,95,73,53,4,POINT_IN_TIME_UNIVERSE|REPLAY|MARKET_OPPORTUNITY|DATA_PLATFORM,HIGH,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,MEDIUM,UNKNOWN,UNKNOWN,HIGH,HIGH,UNKNOWN
delivery_data,Delivery Data,DELIVERY,75,80,62,6,FEATURE_ATTRIBUTION|CANDIDATE_GENERATION|GATE_TRUTH|MARKET_DNA|STRATEGY_LAB|LEARNING,MEDIUM,MEDIUM,MEDIUM,QUOTE_REQUIRED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,MEDIUM,MEDIUM
delivery_percentage,Delivery Percentage,DELIVERY,75,87,54,5,FEATURE_ATTRIBUTION|CANDIDATE_GENERATION|GATE_TRUTH|MARKET_DNA|STRATEGY_LAB,MEDIUM,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,MEDIUM
delivery_quantity,Delivery Quantity,DELIVERY,75,87,54,5,FEATURE_ATTRIBUTION|CANDIDATE_GENERATION|GATE_TRUTH|MARKET_DNA|STRATEGY_LAB,MEDIUM,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,MEDIUM
demergers,Demergers,CORPORATE_ACTION,100,73,46,4,REPLAY|FEATURE_ATTRIBUTION|PERFORMANCE|LEARNING,HIGH,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,HIGH,MEDIUM,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN
dii_holdings,DII Holdings,OWNERSHIP,86,48,46,4,FEATURE_ATTRIBUTION|GATE_TRUTH|MARKET_DNA|LEARNING,MEDIUM,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM
dividends,Dividends,CORPORATE_ACTION,91,73,46,4,REPLAY|FEATURE_ATTRIBUTION|PERFORMANCE|LEARNING,MEDIUM,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,UNKNOWN,MEDIUM,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN
earnings_data,Earnings Data,EARNINGS,81,42,54,5,FEATURE_ATTRIBUTION|GATE_TRUTH|MARKET_DNA|STRATEGY_LAB|LEARNING,MEDIUM,HIGH,HIGH,QUOTE_REQUIRED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM
