dataset_id,score,primary_gain,confidence,candidate_quality,approval_quality,opportunity_recall,trade_quality,capital_allocation,portfolio_construction
bonuses,73,Trade Quality,MEDIUM,MEDIUM,UNKNOWN,UNKNOWN,HIGH,MEDIUM,UNKNOWN
corporate_actions,80,Trade Quality,HIGH,HIGH,MEDIUM,UNKNOWN,HIGH,MEDIUM,UNKNOWN
delisting_history,73,Opportunity Recall,MEDIUM,MEDIUM,UNKNOWN,HIGH,UNKNOWN,UNKNOWN,MEDIUM
delivery_data,80,Candidate Quality,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,UNKNOWN,UNKNOWN
delivery_percentage,87,Candidate Quality,MEDIUM,HIGH,HIGH,UNKNOWN,MEDIUM,UNKNOWN,UNKNOWN
delivery_quantity,87,Candidate Quality,MEDIUM,HIGH,HIGH,UNKNOWN,MEDIUM,UNKNOWN,UNKNOWN
demergers,73,Trade Quality,MEDIUM,MEDIUM,UNKNOWN,UNKNOWN,HIGH,MEDIUM,UNKNOWN
dii_holdings,48,Portfolio Construction,MEDIUM,LOW,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM
dividends,73,Trade Quality,MEDIUM,MEDIUM,UNKNOWN,UNKNOWN,HIGH,MEDIUM,UNKNOWN
earnings_data,42,Trade Quality,HIGH,LOW,MEDIUM,UNKNOWN,MEDIUM,UNKNOWN,LOW
earnings_dates,48,Trade Quality,MEDIUM,LOW,MEDIUM,UNKNOWN,MEDIUM,UNKNOWN,UNKNOWN
earnings_revisions,48,Trade Quality,MEDIUM,LOW,MEDIUM,UNKNOWN,MEDIUM,UNKNOWN,UNKNOWN
earnings_surprises,48,Trade Quality,MEDIUM,LOW,MEDIUM,UNKNOWN,MEDIUM,UNKNOWN,UNKNOWN
fii_holdings,48,Portfolio Construction,MEDIUM,LOW,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM
historical_index_membership,80,Portfolio Construction,HIGH,UNKNOWN,MEDIUM,HIGH,UNKNOWN,MEDIUM,HIGH
historical_index_ohlc,80,Portfolio Construction,HIGH,MEDIUM,HIGH,UNKNOWN,UNKNOWN,MEDIUM,HIGH
historical_sector_membership,73,Portfolio Construction,MEDIUM,UNKNOWN,MEDIUM,UNKNOWN,UNKNOWN,MEDIUM,HIGH
india_vix,42,Capital Allocation,HIGH,UNKNOWN,MEDIUM,UNKNOWN,LOW,MEDIUM,LOW
isin_history,73,Opportunity Recall,MEDIUM,MEDIUM,UNKNOWN,HIGH,UNKNOWN,UNKNOWN,MEDIUM
listing_history,73,Opportunity Recall,MEDIUM,MEDIUM,UNKNOWN,HIGH,UNKNOWN,UNKNOWN,MEDIUM
market_breadth,80,Capital Allocation,HIGH,MEDIUM,HIGH,UNKNOWN,UNKNOWN,HIGH,MEDIUM
mergers,73,Trade Quality,MEDIUM,MEDIUM,UNKNOWN,UNKNOWN,HIGH,MEDIUM,UNKNOWN
mutual_fund_holdings,48,Portfolio Construction,MEDIUM,LOW,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM
official_bse_daily_history,42,Opportunity Recall,HIGH,MEDIUM,UNKNOWN,MEDIUM,LOW,UNKNOWN,LOW
official_nse_daily_history,80,Trade Quality,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,UNKNOWN,UNKNOWN
ownership_data,42,Portfolio Construction,HIGH,LOW,MEDIUM,UNKNOWN,UNKNOWN,LOW,MEDIUM
promoter_holdings,48,Portfolio Construction,MEDIUM,LOW,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM
rights,73,Trade Quality,MEDIUM,MEDIUM,UNKNOWN,UNKNOWN,HIGH,MEDIUM,UNKNOWN
risk_free_rate,25,Portfolio Construction,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,LOW
security_master,80,Portfolio Construction,HIGH,MEDIUM,UNKNOWN,HIGH,UNKNOWN,MEDIUM,HIGH
splits,73,Trade Quality,MEDIUM,MEDIUM,UNKNOWN,UNKNOWN,HIGH,MEDIUM,UNKNOWN
symbol_history,73,Opportunity Recall,MEDIUM,MEDIUM,UNKNOWN,HIGH,UNKNOWN,UNKNOWN,MEDIUM
trading_calendar,37,Opportunity Recall,MEDIUM,LOW,UNKNOWN,MEDIUM,LOW,UNKNOWN,UNKNOWN
turnover_trade_count,42,Portfolio Construction,HIGH,LOW,LOW,UNKNOWN,UNKNOWN,MEDIUM,MEDIUM
