source_dataset_id,relationship,target
bonuses,UNLOCKS,bonuses_adjustment
corporate_actions,UNLOCKS,adjusted_price_continuity
corporate_actions,UNLOCKS,lineage_safe_replay
corporate_actions,UNLOCKS,valid_performance
delisting_history,UNLOCKS,delisting_continuity
delivery_data,REQUIRED_BY,delivery_percentage
delivery_data,REQUIRED_BY,delivery_quantity
delivery_data,UNLOCKS,delivery_percentage
delivery_data,UNLOCKS,delivery_quantity
delivery_data,UNLOCKS,participation_features
demergers,UNLOCKS,demergers_adjustment
dividends,UNLOCKS,dividends_adjustment
earnings_data,REQUIRED_BY,earnings_dates
earnings_data,REQUIRED_BY,earnings_revisions
earnings_data,REQUIRED_BY,earnings_surprises
earnings_data,UNLOCKS,earnings_dates
earnings_data,UNLOCKS,earnings_revisions
earnings_data,UNLOCKS,earnings_surprises
historical_index_membership,REQUIRED_BY,historical_sector_membership
historical_index_membership,UNLOCKS,index_replay
historical_index_membership,UNLOCKS,membership_attribution
historical_index_membership,UNLOCKS,survivorship_safe_membership
historical_index_ohlc,UNLOCKS,benchmark_comparison
historical_index_ohlc,UNLOCKS,market_regime
historical_index_ohlc,UNLOCKS,relative_strength
historical_sector_membership,UNLOCKS,point_in_time_sector_limits
historical_sector_membership,UNLOCKS,sector_stability
india_vix,UNLOCKS,volatility_regime
isin_history,REQUIRED_BY,bonuses
isin_history,REQUIRED_BY,corporate_actions
isin_history,REQUIRED_BY,demergers
isin_history,REQUIRED_BY,dividends
isin_history,REQUIRED_BY,earnings_data
isin_history,REQUIRED_BY,mergers
isin_history,REQUIRED_BY,ownership_data
isin_history,REQUIRED_BY,rights
isin_history,REQUIRED_BY,splits
isin_history,UNLOCKS,isin_continuity
listing_history,REQUIRED_BY,historical_index_membership
listing_history,UNLOCKS,listing_continuity
market_breadth,UNLOCKS,breadth_regime
market_breadth,UNLOCKS,participation_divergence
mergers,UNLOCKS,mergers_adjustment
official_bse_daily_history,UNLOCKS,bse_only_coverage
official_bse_daily_history,UNLOCKS,cross_exchange_reconciliation
official_nse_daily_history,REQUIRED_BY,delivery_data
official_nse_daily_history,REQUIRED_BY,market_breadth
official_nse_daily_history,REQUIRED_BY,official_bse_daily_history
official_nse_daily_history,REQUIRED_BY,turnover_trade_count
official_nse_daily_history,UNLOCKS,canonical_price_history
official_nse_daily_history,UNLOCKS,certified_replay
official_nse_daily_history,UNLOCKS,official_reconciliation
ownership_data,REQUIRED_BY,dii_holdings
ownership_data,REQUIRED_BY,fii_holdings
ownership_data,REQUIRED_BY,mutual_fund_holdings
ownership_data,REQUIRED_BY,promoter_holdings
ownership_data,UNLOCKS,dii_holdings
ownership_data,UNLOCKS,fii_holdings
ownership_data,UNLOCKS,mutual_fund_holdings
ownership_data,UNLOCKS,promoter_holdings
point_in_time_universe,REQUIRED_BY,market_breadth
rights,UNLOCKS,rights_adjustment
risk_free_rate,UNLOCKS,risk_adjusted_metrics
security_master,REQUIRED_BY,bonuses
security_master,REQUIRED_BY,corporate_actions
security_master,REQUIRED_BY,delisting_history
security_master,REQUIRED_BY,delivery_data
security_master,REQUIRED_BY,demergers
security_master,REQUIRED_BY,dividends
security_master,REQUIRED_BY,earnings_data
security_master,REQUIRED_BY,historical_index_membership
security_master,REQUIRED_BY,historical_sector_membership
security_master,REQUIRED_BY,listing_history
security_master,REQUIRED_BY,market_breadth
security_master,REQUIRED_BY,mergers
security_master,REQUIRED_BY,official_bse_daily_history
security_master,REQUIRED_BY,ownership_data
security_master,REQUIRED_BY,rights
security_master,REQUIRED_BY,splits
security_master,REQUIRED_BY,symbol_history
security_master,REQUIRED_BY,turnover_trade_count
security_master,UNLOCKS,corporate_action_lineage
security_master,UNLOCKS,identity_resolution
security_master,UNLOCKS,listing_history
splits,UNLOCKS,splits_adjustment
symbol_history,UNLOCKS,symbol_continuity
trading_calendar,REQUIRED_BY,historical_index_ohlc
trading_calendar,UNLOCKS,missing_day_detection
trading_calendar,UNLOCKS,session_completeness
turnover_trade_count,UNLOCKS,liquidity_capacity
