dataset_id,score,novelty_points,bias_control_points,authority_points,point_in_time_points,evidence_points,confidence,feature_gap,evidence_sources
bonuses,100,30,25,20,15,10,HIGH,Adds official bonuses needed for price and quantity continuity.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
corporate_actions,100,30,25,20,15,10,HIGH,"Corrects price continuity, entitlement events and issuer lineage across replay.",docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
delisting_history,95,25,25,20,15,10,HIGH,Include historical failures without survivorship bias.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
delivery_data,75,20,16,20,9,10,HIGH,Adds observed delivery participation unavailable in the legacy warehouse.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
delivery_percentage,75,20,16,20,9,10,HIGH,Adds a normalized participation feature explicitly absent from attribution.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
delivery_quantity,75,20,16,20,9,10,HIGH,Separates delivered quantity from total turnover.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
demergers,100,30,25,20,15,10,HIGH,Adds official demergers needed for issuer and entitlement lineage.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
dii_holdings,86,25,16,20,15,10,HIGH,Adds point-in-time dii holdings unavailable in the canonical feature history.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
dividends,91,30,16,20,15,10,HIGH,Adds official dividends needed for total-return accounting.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
earnings_data,81,20,16,20,15,10,HIGH,Adds issuer fundamentals and event context not represented by technical features.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
earnings_dates,81,20,16,20,15,10,HIGH,Adds event timing and gap-risk controls absent from technical-only evidence.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
earnings_revisions,67,20,16,12,9,10,MEDIUM,Adds forward change in analyst expectations absent from technical-only evidence.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
earnings_surprises,67,20,16,12,9,10,MEDIUM,Adds point-in-time actual-versus-expectation context absent from technical-only evidence.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
fii_holdings,86,25,16,20,15,10,HIGH,Adds point-in-time fii holdings unavailable in the canonical feature history.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
historical_index_membership,95,25,25,20,15,10,HIGH,Eliminates current-constituent leakage and defines point-in-time index populations.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
historical_index_ohlc,86,25,16,20,15,10,HIGH,Enables benchmark-relative features and point-in-time market context.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
historical_sector_membership,95,25,25,20,15,10,HIGH,Eliminates current-sector backfill and enables sector-stability attribution.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
india_vix,71,20,6,20,15,10,HIGH,Adds an official market volatility context series.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
isin_history,95,25,25,20,15,10,HIGH,Stable cross-source identity.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
listing_history,95,25,25,20,15,10,HIGH,Exclude pre-listing observations.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
market_breadth,81,20,16,20,15,10,HIGH,Adds market-wide participation context currently unavailable to regime and timing research.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
mergers,100,30,25,20,15,10,HIGH,Adds official mergers needed for issuer and position lineage.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
mutual_fund_holdings,86,25,16,20,15,10,HIGH,Adds point-in-time mutual fund holdings unavailable in the canonical feature history.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
