dataset_id,authority,dataset,family,availability,coverage_start,coverage_end,coverage_basis,official,public,requires_registration,paid,point_in_time_role,missing_or_unknown,source_url,verified_on
"NSE_CM_BHAVCOPY_UDIFF","NSE","CM UDiFF Common Bhavcopy Final","DAILY_OHLCV","AVAILABLE_PUBLIC_ARCHIVE_INTERFACE","2024-07-08","CURRENT","NSE All Reports states legacy CM bhavcopy was discontinued from 2024-07-08 in favor of UDiFF","TRUE","TRUE","FALSE","FALSE","Official session OHLCV after format transition","Earliest continuous downloadable archive and automated retention rights are UNKNOWN","https://www.nseindia.com/all-reports","2026-07-19"
"NSE_CM_BHAVCOPY_LEGACY","NSE","Legacy CM Bhavcopy and PR files","DAILY_OHLCV","AVAILABLE_PUBLIC_ARCHIVE_INTERFACE","UNKNOWN","2024-07-07","Official format lineage; exact first complete session not guaranteed","TRUE","TRUE","FALSE","FALSE","Pre-UDiFF official session OHLCV","Coverage start completeness corrections and automated retention rights are UNKNOWN","https://www.nseindia.com/all-reports","2026-07-19"
"NSE_CM_FULL_BHAV_DELIVERY","NSE","Full Bhavcopy and Security Deliverable Data","DAILY_OHLCV_DELIVERY","AVAILABLE_PUBLIC_CURRENT_AND_ARCHIVE_INTERFACE","UNKNOWN","CURRENT","Listed in NSE All Reports","TRUE","TRUE","FALSE","FALSE","Cross-check for daily price and delivery facts","Earliest continuous history and schema transitions are UNKNOWN","https://www.nseindia.com/all-reports","2026-07-19"
"NSE_CM_DELIVERY","NSE","Security-wise Delivery Positions","DELIVERY_VOLUME","AVAILABLE_PUBLIC_ARCHIVE_INTERFACE","UNKNOWN","CURRENT","Listed in NSE All Reports","TRUE","TRUE","FALSE","FALSE","Official venue delivery quantity by session","Earliest complete archive and historical corrections are UNKNOWN","https://www.nseindia.com/all-reports","2026-07-19"
"NSE_PAID_EOD","NSE Data & Analytics","Paid End of Day Data","DAILY_OHLCV_TRADES","AVAILABLE_LICENSED","UNKNOWN","CURRENT","Official paid EOD product documents CM security and trade data","TRUE","FALSE","TRUE","TRUE","Preferred official bulk EOD source","Earliest guaranteed backfill retention rights and correction SLA require contract","https://www.nseindia.com/static/market-data/eod-historical-data-subscription","2026-07-19"
"NSE_PAID_HIST_TRADES","NSE Data & Analytics","Historical Order and Trade Data","ORDER_TRADE_HISTORY","AVAILABLE_LICENSED","UNKNOWN","CURRENT","Official historical online product for CM and other segments","TRUE","FALSE","TRUE","TRUE","Optional microstructure evidence","Earliest date capacity cost and non-display rights require contract","https://www.nseindia.com/static/market-data/eod-historical-data-subscription","2026-07-19"
"NSE_CM_MII_SECURITY","NSE","CM MII Security File","SECURITY_MASTER","AVAILABLE_PUBLIC_DAILY","UNKNOWN","CURRENT","Daily security file listed in NSE All Reports","TRUE","TRUE","FALSE","FALSE","Session-level tradable symbol series and instrument state","Historical snapshot completeness inactive history and retention rights are UNKNOWN","https://www.nseindia.com/all-reports","2026-07-19"
"NSE_PAID_MASTER","NSE Data & Analytics","Paid Master Data","SECURITY_MASTER","AVAILABLE_LICENSED","UNKNOWN","CURRENT","Official post-EOD SFTP security and contract master product","TRUE","FALSE","TRUE","TRUE","Primary NSE effective-dated identity input if archives included","Historical master backfill inactive securities and effective-date guarantees require contract","https://www.nseindia.com/static/market-data/paid-master-data","2026-07-19"
"NSE_SECURITIES_CURRENT","NSE","Securities Available for Trading","SECURITY_MASTER","AVAILABLE_PUBLIC_CURRENT","CURRENT_ONLY","CURRENT","Current downloadable lists by instrument category","TRUE","TRUE","FALSE","FALSE","Current-state verification only","Not historical and must not be backfilled","https://www.nseindia.com/static/market-data/securities-available-for-trading","2026-07-19"
"NSE_SYMBOL_NAME_CHANGES","NSE","Changes in Symbols and Company Names","IDENTITY_EVENTS","AVAILABLE_PUBLIC_CURRENT_COMPILATION","UNKNOWN","CURRENT","Download links are present on securities page","TRUE","TRUE","FALSE","FALSE","Supporting effective-dated identity events","Historical completeness old and new ISIN linkage and revisions are UNKNOWN","https://www.nseindia.com/static/market-data/securities-available-for-trading","2026-07-19"
"NSE_DELISTINGS","NSE","Delisted Companies and Delisting Orders","LISTING_HISTORY","AVAILABLE_PUBLIC_COMPILATION","AT_LEAST_2016_ORDERS_OBSERVED","CURRENT","Official downloadable lists and dated committee orders","TRUE","TRUE","FALSE","FALSE","Delisting-date evidence","Completeness before observed orders and all delisting routes are UNKNOWN","https://www.nseindia.com/static/list/list-of-companies-proposed-to-be-delisted","2026-07-19"
"NSE_SUSPENSIONS","NSE","Suspended Companies and Listing Notices","LISTING_HISTORY","AVAILABLE_PUBLIC_CURRENT_AND_NOTICES","UNKNOWN","CURRENT","Current compliance lists and dated notices exist","TRUE","TRUE","FALSE","FALSE","Suspension and revocation interval evidence","One complete historical interval file was not identified","https://www.nseindia.com/static/regulations/listing-compliance","2026-07-19"
"NSE_IPO_LISTINGS","NSE","IPO Tracker and Issue Pages","LISTING_HISTORY","UNKNOWN_FULL_HISTORY","UNKNOWN","CURRENT","Current and year-to-date listing information is exposed","TRUE","TRUE","FALSE","FALSE","Supporting first-listing evidence","All historical listing routes and earliest complete coverage are UNKNOWN","https://www.nseindia.com/ipo-tracker?type=ipo_year","2026-07-19"
"NSE_CORPORATE_ACTIONS_PUBLIC","NSE","Corporate Actions Search","CORPORATE_ACTIONS","AVAILABLE_PUBLIC_ARCHIVE_INTERFACE","UNKNOWN","CURRENT","Official date-filtered action table with CSV download","TRUE","TRUE","FALSE","FALSE","Action announcement ex-date and record-date evidence","Earliest complete history normalized terms and revision policy are UNKNOWN","https://www.nseindia.com/companies-listing/corporate-filings-actions","2026-07-19"
