source,product,cost_band,published_price,currency,price_basis,tax_status,important_exclusions,pricing_status,evidence_url,verified_on,production_influence
NSE Data & Analytics,Capital Market EOD,SUBSCRIPTION,100000,INR,PER_ANNUM_PER_SITE_OR_MEDIUM,EXCLUSIVE,"historical backfill; index data; corporate data; extra channels; implementation",PUBLISHED,https://nsearchives.nseindia.com/web/mediaattachment/2026-04/Download_Pricing_file_-_Domestic_clients_20260424122229.pdf,2026-07-19,FALSE
NSE Data & Analytics,Master Data,SUBSCRIPTION,215000,INR,PER_ANNUM_PER_SITE,EXCLUSIVE,"historical depth; extra channels; implementation",PUBLISHED,https://nsearchives.nseindia.com/web/mediaattachment/2026-04/Download_Pricing_file_-_Domestic_clients_20260424122229.pdf,2026-07-19,FALSE
NSE Data & Analytics,EOD Corporate Data,SUBSCRIPTION,500000,INR,PER_ANNUM_PER_SITE,EXCLUSIVE,"historical backfill; extra channels; implementation",PUBLISHED,https://nsearchives.nseindia.com/web/mediaattachment/2026-04/Download_Pricing_file_-_Domestic_clients_20260424122229.pdf,2026-07-19,FALSE
NSE Data & Analytics,Full Corporate Data,ENTERPRISE,1060000,INR,PER_ANNUM,EXCLUSIVE,"historical backfill; extra channels; implementation",PUBLISHED,https://nsearchives.nseindia.com/web/mediaattachment/2026-04/Download_Pricing_file_-_Domestic_clients_20260424122229.pdf,2026-07-19,FALSE
NSE Data & Analytics,Historical Trade Data Capital Market,SUBSCRIPTION,110000,INR,PER_ANNUM_PER_SITE,EXCLUSIVE,"order data; extra channels; implementation",PUBLISHED,https://nsearchives.nseindia.com/web/mediaattachment/2026-04/Download_Pricing_file_-_Domestic_clients_20260424122229.pdf,2026-07-19,FALSE
NSE Indices,Historical levels and constituents,SUBSCRIPTION,QUOTE_REQUIRED,UNKNOWN,PRODUCT_AND_USE_DEPENDENT,UNKNOWN,"exchange rights; index set; history; sites; delivery",QUOTE_REQUIRED,https://www.niftyindices.com/offerings/data-subscription,2026-07-19,FALSE
BSE,Historical Trade Book equity segment,SUBSCRIPTION,120000,INR,PER_ANNUM_PER_LOCATION_PER_ENTITY,EXCLUSIVE,"other segments; order book; reference; implementation",PUBLISHED,https://www.bseindia.com/downloads1/Information_Products_Pricing_Sheet.pdf,2026-07-19,FALSE
BSE,Delivery Volumes EOD individual,SUBSCRIPTION,35000,INR,PER_ANNUM_INDIVIDUAL,EXCLUSIVE,"redistribution; other EOD products; implementation",PUBLISHED,https://www.bseindia.com/downloads1/Information_Products_Pricing_Sheet.pdf,2026-07-19,FALSE
BSE,Delivery Volumes EOD redistribution,SUBSCRIPTION,150000,INR,PER_ANNUM_REDISTRIBUTION,EXCLUSIVE,"other EOD products; implementation",PUBLISHED,https://www.bseindia.com/downloads1/Information_Products_Pricing_Sheet.pdf,2026-07-19,FALSE
Upstox,Trading and data API,REGISTRATION,0,INR,ACCOUNT_API_USAGE,UNKNOWN,"broker account; exchange rights; warehouse retention",PUBLISHED_API_USAGE_FREE,https://upstox.com/developer/api-documentation/announcements/update-zero-brokerage/,2026-07-19,FALSE
Zerodha,Kite Connect,SUBSCRIPTION,500,INR,PER_APP_PER_MONTH,UNKNOWN,"brokerage; exchange restrictions; warehouse rights",PUBLISHED,https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/what-are-the-charges-for-kite-apis,2026-07-19,FALSE
nse-archives,Wrapper software,FREE,0,INR,MIT_SOFTWARE_LICENSE,NOT_APPLICABLE,"NSE data rights; support; infrastructure; maintenance",PUBLISHED_CODE_ONLY,https://pypi.org/project/nse-archives/,2026-07-19,FALSE
